player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
1,,90,0,0,0,4,0,13,0,0,,2
7,,85,0,0,0,0,0,2,1,0,,1
8,,90,0,0,0,0,0,7,0,0,,3
10,,4,0,0,0,0,0,-1,0,0,,1
11,,90,0,0,0,0,0,18,0,0,,1
16,,78,0,1,0,0,0,18,1,0,,4
17,,90,0,0,0,0,0,21,0,0,,2
18,,11,0,0,0,0,0,3,0,0,,1
19,,4,0,0,0,0,0,2,0,0,,1
20,,40,1,0,0,0,0,23,0,0,,6
21,,90,0,0,0,0,2,30,0,0,,6
22,,45,0,0,0,0,0,4,0,0,,1
26,,90,0,0,0,0,0,14,0,0,,2
32,,90,0,0,0,7,0,21,0,0,,4
36,,86,1,0,0,0,1,24,0,0,,9
38,,90,0,0,0,0,0,11,0,0,,2
39,,90,0,0,0,0,0,7,0,0,,2
41,,85,0,1,0,0,0,17,0,0,,5
44,,15,0,0,0,0,0,3,0,0,,1
47,,90,0,0,0,0,0,12,0,0,,2
48,,90,0,0,0,0,0,13,0,0,,2
50,,3,1,0,0,0,0,22,0,0,,6
52,,90,0,0,0,0,0,8,1,0,,1
53,,24,0,0,0,0,0,-3,0,0,,1
54,,74,0,0,0,0,0,11,0,0,,2
58,,90,0,1,0,0,3,37,0,0,,10
59,,74,0,0,0,0,0,5,0,0,,2
64,,65,0,0,0,0,0,8,0,0,,2
67,,90,0,0,1,4,0,31,0,0,,7
72,,61,0,0,1,0,0,28,0,0,,8
73,,90,0,0,1,0,0,23,0,0,,6
74,,90,0,0,1,0,0,31,0,0,,6
77,,28,0,0,0,0,0,4,0,0,,1
81,,73,0,0,1,0,0,7,0,0,,3
82,,90,0,0,1,0,0,14,0,0,,3
83,,87,0,0,0,0,0,15,0,0,,4
84,,90,0,0,1,0,0,15,0,0,,5
86,,16,0,0,0,0,0,3,0,0,,1
90,,90,0,0,1,0,0,21,0,0,,5
97,,86,0,0,1,0,0,-3,0,0,,2
98,,3,0,0,0,0,0,1,0,0,,1
101,,90,0,0,0,5,0,14,0,0,,2
106,,90,0,0,0,0,0,16,0,0,,3
107,,2,0,0,0,0,0,3,0,0,,1
108,,45,0,0,0,0,0,-7,1,0,,-1
109,,45,0,0,0,0,0,4,0,0,,1
110,,75,0,0,0,0,0,11,1,0,,0
113,,90,0,0,0,0,0,3,0,0,,1
116,,14,0,0,0,0,0,3,0,0,,1
119,,90,1,0,0,0,2,32,1,0,,8
120,,90,0,0,0,0,0,6,1,0,,1
121,,60,0,0,0,0,0,2,0,0,,2
124,,90,0,0,0,0,0,14,0,0,,4
125,,14,0,0,0,0,0,5,0,0,,1
126,,29,0,0,0,0,0,4,0,0,,1
129,,75,0,0,0,0,0,3,1,0,,1
135,,16,0,0,0,0,0,2,0,0,,1
136,,90,0,0,0,0,0,4,0,0,,2
139,,90,0,0,0,4,0,22,0,0,,3
143,,7,0,0,0,0,0,4,0,0,,1
145,,71,0,0,1,0,2,35,0,0,,8
146,,90,0,0,0,0,0,14,1,0,,1
148,,82,0,0,0,0,0,6,1,0,,1
151,,90,0,1,0,0,0,23,0,0,,5
158,,90,1,0,0,0,1,33,0,0,,8
160,,71,0,0,1,0,0,4,0,0,,3
162,,18,0,0,0,0,0,6,0,0,,1
163,,30,0,0,0,0,0,4,0,0,,1
167,,59,0,0,0,0,0,3,0,0,,1
169,,90,0,0,0,0,0,13,0,0,,2
173,,90,0,0,0,0,0,9,0,0,,2
178,,90,0,0,0,0,0,4,0,0,,2
181,,18,0,0,0,0,0,2,0,0,,1
187,,90,0,0,0,0,0,-5,1,0,,0
190,,90,0,0,0,0,0,0,0,0,,1
191,,90,0,0,0,0,0,6,0,0,,3
195,,42,0,0,0,0,0,-11,0,1,,-3
199,,45,0,0,0,0,0,5,0,0,,1
200,,4,0,0,0,0,0,3,0,0,,1
202,,85,0,0,0,0,0,10,0,0,,2
205,,90,0,0,0,0,0,17,0,0,,2
206,,1,0,0,0,0,0,8,0,0,,1
209,,25,0,0,0,0,0,3,1,0,,0
215,,4,1,0,0,0,0,14,0,0,,5
217,,45,0,0,0,0,0,2,0,0,,1
220,,90,0,0,1,5,3,35,0,0,,10
224,,90,0,0,1,0,0,25,0,0,,6
225,,90,0,0,1,0,0,22,0,0,,6
226,,90,0,0,1,0,3,35,0,0,,11
