player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
1,,90,0,0,0,4,0,18,0,0,,3
5,,90,0,0,0,0,0,12,0,0,,2
6,,90,0,0,0,0,0,9,0,0,,2
8,,56,0,1,0,0,0,14,1,0,,3
16,,90,0,1,0,0,0,18,0,0,,5
17,,13,0,1,0,0,0,16,0,0,,4
18,,1,0,0,0,0,0,4,0,0,,1
19,,14,0,0,0,0,0,3,0,0,,1
20,,75,0,0,0,0,0,10,0,0,,2
21,,90,0,0,0,0,0,11,0,0,,4
26,,90,0,0,0,0,0,14,0,0,,2
32,,90,0,0,0,3,0,13,0,0,,3
36,,86,0,0,0,0,0,13,0,0,,2
38,,90,0,1,0,0,0,23,0,0,,7
39,,90,0,0,0,0,0,8,0,0,,2
40,,90,0,0,0,0,0,12,0,0,,2
42,,3,0,0,0,0,0,3,0,0,,1
44,,3,0,0,0,0,0,3,0,0,,1
47,,90,0,0,0,0,0,11,0,0,,2
49,,60,0,0,0,0,0,6,0,0,,2
50,,74,0,0,0,0,0,-1,1,0,,1
52,,90,0,1,0,0,1,22,0,0,,6
55,,29,0,0,0,0,0,9,0,0,,1
59,,60,0,0,0,0,0,12,0,0,,2
64,,90,0,0,0,0,0,9,0,0,,2
67,,90,0,0,1,3,2,33,0,0,,9
72,,90,0,0,1,0,0,23,1,0,,5
73,,1,0,0,0,0,0,4,0,0,,1
74,,90,0,0,1,0,0,24,0,0,,6
77,,90,0,0,1,0,0,29,0,0,,6
82,,86,0,0,0,0,0,13,0,0,,4
83,,90,0,0,0,0,0,12,0,0,,2
84,,10,0,0,0,0,0,2,0,0,,1
85,,65,0,0,1,0,0,15,0,0,,5
86,,24,0,0,0,0,0,5,0,0,,1
87,,24,0,0,0,0,0,6,0,0,,1
90,,90,0,0,1,0,0,20,0,0,,5
97,,79,0,0,1,0,0,4,0,0,,2
98,,1,0,0,0,0,0,2,0,0,,1
100,,88,0,0,1,0,0,10,0,0,,2
101,,90,0,0,0,5,0,14,0,0,,2
