player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
430,Erling Haaland,FWD,MCI,14.9,68.8,,,,,,,,,100.0,,,,,1.0
82,Antoine Semenyo,MID,MCI,7.9,49.1,,,,,,,,,100.0,,,,,1.0
249,João Pedro Junqueira de Jesus,FWD,CHE,7.6,44.9,,,,,,,,,,,,,,1.0
5,Gabriel dos Santos Magalhães,DEF,ARS,7.1,43.0,,,,,,,,,100.0,,,,,1.0
260,Marc Guéhi,DEF,MCI,5.2,36.6,,,,,,,,,100.0,,,,,1.0
449,Bruno Borges Fernandes,MID,MUN,9.8,36.5,,,,,,,,,100.0,,,,,1.0
21,Declan Rice,MID,ARS,7.6,35.6,,,,,,,,,100.0,,,,,1.0
1,David Raya Martín,GKP,ARS,5.9,35.3,,,,,,,,,,,,,,1.0
470,Martin Dúbravka,GKP,BUR,4.0,32.7,,,,,,,,,100.0,,,,,1.0
8,Jurriën Timber,DEF,ARS,6.4,31.2,,,,,,,,,100.0,,,,,1.0
47,Morgan Rogers,MID,AVL,7.6,30.5,,,,,,,,,100.0,,,,,1.0
136,Igor Thiago Nascimento Rodrigues,FWD,BRE,7.0,30.0,,,,,,,,,100.0,,,,,1.0
661,Hugo Ekitiké,FWD,LIV,8.9,25.4,,,,,,,,,100.0,,,,,1.0
226,Trevoh Chalobah,DEF,CHE,5.8,23.8,,,,,,,,,100.0,,,,,1.0
575,Micky van de Ven,DEF,TOT,4.5,23.8,,,,,,,,,100.0,,,,,1.0
237,Enzo Fernández,MID,CHE,6.9,22.9,,,,,,,,,100.0,,,,,1.0
119,Bryan Mbeumo,MID,MUN,8.6,22.4,,,,,,,,,100.0,,,,,1.0
373,Virgil van Dijk,DEF,LIV,5.9,21.1,,,,,,,,,,,,,,1.0
329,Harry Wilson,MID,FUL,6.0,20.7,,,,,,,,,100.0,,,,,1.0
224,Marc Cucurella Saseta,DEF,CHE,6.1,17.4,,,,,,,,,75.0,,,,,1.0
72,Marcos Senesi Barón,DEF,BOU,4.8,15.5,,,,,,,,,100.0,,,,,1.0
220,Robert Lynch Sánchez,GKP,CHE,4.9,15.1,,,,,,,,,100.0,,,,,1.0
235,Cole Palmer,MID,CHE,10.5,14.6,,,,,,,,,100.0,,,,,1.0
6,William Saliba,DEF,ARS,6.1,14.4,,,,,,,,,100.0,,,,,1.0
381,Mohamed Salah,MID,LIV,14.0,14.1,,,,,,,,,100.0,,,,,1.0
287,Jordan Pickford,GKP,EVE,5.6,13.7,,,,,,,,,,,,,,1.0
382,Florian Wirtz,MID,LIV,8.4,13.7,,,,,,,,,100.0,,,,,1.0
694,Nordi Mukiele,DEF,SUN,4.6,13.6,,,,,,,,,,,,,,1.0
666,Viktor Gyökeres,FWD,ARS,8.8,13.4,,,,,,,,,100.0,,,,,1.0
488,Bruno Guimarães Rodriguez Moura,MID,NEW,7.0,12.5,,,,,,,,,75.0,,,,,1.0
291,James Tarkowski,DEF,EVE,5.7,12.4,,,,,,,,,,,,,,1.0
670,Robin Roefs,GKP,SUN,4.9,11.7,,,,,,,,,,,,,,1.0
36,Matty Cash,DEF,AVL,4.9,11.7,,,,,,,,,100.0,,,,,1.0
691,Dominic Calvert-Lewin,FWD,LEE,5.9,11.1,,,,,,,,,100.0,,,,,1.0
427,Tijjani Reijnders,MID,MCI,5.1,10.3,,,,,,,,,,,,,,1.0
101,Caoimhín Kelleher,GKP,BRE,4.6,10.2,,,,,,,,,100.0,,,,,1.0
414,Phil Foden,MID,MCI,8.2,10.1,,,,,,,,,100.0,,,,,1.0
582,Mohammed Kudus,MID,TOT,6.4,9.8,,,,,,,,,,,,,,1.0
568,Pedro Porro Sauceda,DEF,TOT,5.2,9.7,,,,,,,,,,,,,,1.0
417,Rayan Cherki,MID,MCI,6.5,9.2,,,,,,,,,100.0,,,,,1.0
64,Ollie Watkins,FWD,AVL,8.6,9.0,,,,,,,,,100.0,,,,,1.0
736,Gianluigi Donnarumma,GKP,MCI,5.6,8.8,,,,,,,,,,,,,,1.0
450,Matheus Santos Carneiro da Cunha,MID,MUN,8.1,8.7,,,,,,,,,100.0,,,,,1.0
624,Jarrod Bowen,FWD,WHU,7.6,8.6,,,,,,,,,,,,,,1.0
225,Reece James,DEF,CHE,5.6,8.4,,,,,,,,,75.0,,,,,1.0
714,Nick Woltemade,FWD,NEW,6.9,8.4,,,,,,,,,,,,,,1.0
191,Maxime Estève,DEF,BUR,3.9,8.0,,,,,,,,,100.0,,,,,1.0
241,Moisés Caicedo Corozo,MID,CHE,5.7,8.0,,,,,,,,,100.0,,,,,1.0
256,Daniel Muñoz Mejía,DEF,CRY,5.9,8.0,,,,,,,,,100.0,,,,,1.0
266,Eberechi Eze,MID,ARS,7.2,7.8,,,,,,,,,,,,,,1.0
16,Bukayo Saka,MID,ARS,9.8,7.8,,,,,,,,,50.0,,,,,1.0
38,Ezri Konsa Ngoyo,DEF,AVL,4.4,7.6,,,,,,,,,100.0,,,,,1.0
253,Dean Henderson,GKP,CRY,5.0,7.4,,,,,,,,,,,,,,1.0
283,Jean-Philippe Mateta,FWD,CRY,7.5,7.3,,,,,,,,,,,,,,1.0
100,Junior Kroupi,FWD,BOU,4.7,7.1,,,,,,,,,,,,,,1.0
7,Riccardo Calafiori,DEF,ARS,5.6,6.6,,,,,,,,,100.0,,,,,1.0
683,Omar Alderete,DEF,SUN,4.1,6.4,,,,,,,,,100.0,,,,,1.0
257,Maxence Lacroix,DEF,CRY,5.1,6.3,,,,,,,,,,,,,,1.0
419,Jack Grealish,MID,EVE,6.3,6.2,,,,,,,,,,,,,,1.0
565,Guglielmo Vicario,GKP,TOT,4.8,6.0,,,,,,,,,,,,,,1.0
252,Marc Guiu Paz,FWD,CHE,4.2,6.0,,,,,,,,,100.0,,,,,1.0
517,Elliot Anderson,MID,NFO,5.4,5.9,,,,,,,,,,,,,,1.0
26,Martín Zubimendi Ibáñez,MID,ARS,5.3,5.9,,,,,,,,,100.0,,,,,1.0
366,Alisson Becker,GKP,LIV,5.4,5.8,,,,,,,,,100.0,,,,,1.0
139,Bart Verbruggen,GKP,BHA,4.5,5.6,,,,,,,,,,,,,,1.0
597,Richarlison de Andrade,FWD,TOT,6.3,5.5,,,,,,,,,,,,,,1.0
384,Cody Gakpo,MID,LIV,7.3,5.3,,,,,,,,,100.0,,,,,1.0
387,Dominik Szoboszlai,MID,LIV,6.7,5.2,,,,,,,,,100.0,,,,,1.0
502,Matz Sels,GKP,NFO,4.6,5.2,,,,,,,,,,,,,,1.0
236,Pedro Lomba Neto,MID,CHE,7.0,4.9,,,,,,,,,100.0,,,,,1.0
370,Jeremie Frimpong,DEF,LIV,5.7,4.8,,,,,,,,,,,,,,1.0
441,Patrick Dorgu,DEF,MUN,4.3,4.8,,,,,,,,,,,,,,1.0
469,Nick Pope,GKP,NEW,5.1,4.7,,,,,,,,,100.0,,,,,1.0
317,Joachim Andersen,DEF,FUL,4.5,4.7,,,,,,,,,100.0,,,,,1.0
440,Diogo Dalot Teixeira,DEF,MUN,4.5,4.6,,,,,,,,,100.0,,,,,1.0
411,Nico O'Reilly,DEF,MCI,4.9,4.6,,,,,,,,,100.0,,,,,1.0
390,Ryan Gravenberch,MID,LIV,5.5,4.6,,,,,,,,,100.0,,,,,1.0
525,Chris Wood,FWD,NFO,7.2,4.6,,,,,,,,,,,,,,1.0
610,Aaron Wan-Bissaka,DEF,WHU,4.1,4.4,,,,,,,,,100.0,,,,,1.0
67,Đorđe Petrović,GKP,BOU,4.5,4.3,,,,,,,,,,,,,,1.0
684,Malick Thiaw,DEF,NEW,5.0,4.3,,,,,,,,,,,,,,1.0
303,James Garner,MID,EVE,5.2,4.2,,,,,,,,,,,,,,1.0
32,Emiliano Martínez Romero,GKP,AVL,5.0,3.8,,,,,,,,,100.0,,,,,1.0
299,Iliman Ndiaye,MID,EVE,6.2,3.8,,,,,,,,,100.0,,,,,1.0
348,Joe Rodon,DEF,LEE,3.9,3.8,,,,,,,,,100.0,,,,,1.0
347,Gabriel Gudmundsson,DEF,LEE,3.8,3.8,,,,,,,,,100.0,,,,,1.0
