player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
1,,90,0,0,1,0,0,20,0,0,,6
5,,90,0,0,1,0,0,22,0,0,,6
6,,90,0,0,1,0,2,27,0,0,,8
7,,71,0,0,1,0,2,27,0,0,,8
10,,17,0,0,0,0,0,3,0,0,,1
16,,90,0,1,1,0,2,27,0,0,,10
17,,90,0,0,1,0,0,10,0,0,,3
19,,1,0,0,0,0,0,3,0,0,,1
20,,90,0,0,1,0,0,12,0,0,,3
21,,90,0,0,1,0,0,19,0,0,,5
26,,1,0,0,0,0,0,3,0,0,,1
30,,72,1,0,1,0,3,34,1,0,,8
32,,90,0,0,0,3,0,7,0,0,,2
36,,90,0,0,0,0,0,3,1,0,,0
37,,90,0,1,0,0,0,9,0,0,,4
38,,90,0,0,0,0,0,9,0,0,,1
39,,5,0,0,0,0,0,-1,0,0,,1
41,,90,0,1,0,0,0,13,0,0,,4
47,,90,1,1,0,0,2,50,0,0,,12
48,,89,0,0,0,0,0,17,0,0,,2
50,,84,0,0,0,0,0,13,0,0,,2
52,,90,0,1,0,0,2,35,0,0,,9
54,,89,1,0,0,0,0,26,1,0,,6
55,,45,0,0,0,0,0,7,0,0,,1
64,,90,2,1,0,0,3,65,1,0,,15
67,,90,0,0,0,3,0,13,0,0,,3
72,,90,0,0,0,0,0,13,0,0,,4
73,,89,0,0,1,0,0,18,0,0,,6
74,,90,0,1,0,0,0,17,1,0,,4
77,,90,0,0,0,0,0,8,1,0,,1
81,,14,0,0,0,0,0,-2,1,0,,0
82,,55,0,0,0,0,0,5,0,0,,1
83,,90,2,0,0,0,3,45,0,0,,15
84,,90,0,0,0,0,0,24,0,0,,2
85,,90,0,0,0,0,0,12,1,0,,3
86,,6,0,0,0,0,0,1,0,0,,1
88,,1,0,0,0,0,0,3,0,0,,1
90,,90,0,0,0,0,0,20,0,0,,4
97,,88,0,0,1,0,0,14,0,0,,2
98,,1,0,0,0,0,0,7,0,0,,1
100,,75,1,0,1,0,2,32,0,0,,8
101,,90,0,0,0,3,0,5,0,0,,2
106,,90,0,0,0,0,0,11,0,0,,3
107,,90,0,0,0,0,0,3,0,0,,1
108,,81,0,0,0,0,0,10,0,0,,3
110,,90,0,0,0,0,0,1,1,0,,0
113,,8,0,1,0,0,0,19,0,0,,4
119,,79,1,0,0,0,0,18,0,0,,7
120,,27,0,0,0,0,0,-1,0,0,,1
121,,90,0,0,0,0,0,13,0,0,,2
124,,27,0,0,0,0,0,4,0,0,,1
125,,62,0,0,0,0,0,13,0,0,,2
126,,62,0,0,0,0,0,10,0,0,,2
129,,88,0,1,0,0,1,24,0,0,,8
135,,5,0,0,0,0,0,5,0,0,,1
136,,90,0,0,0,0,0,0,0,0,,2
139,,90,0,0,0,1,0,5,0,0,,2
145,,90,0,0,0,0,0,13,0,0,,2
146,,90,0,0,0,0,0,13,0,0,,2
148,,90,0,0,0,0,0,13,0,0,,2
151,,90,0,0,0,0,0,6,0,0,,2
152,,64,0,0,1,0,0,22,0,0,,6
158,,25,0,0,0,0,0,3,0,0,,1
159,,1,0,0,0,0,0,2,0,0,,1
160,,90,0,0,1,0,0,12,0,0,,3
163,,81,0,0,1,0,0,11,0,0,,3
166,,8,0,0,0,0,0,3,0,0,,1
167,,81,0,0,1,0,0,14,0,0,,3
169,,25,0,0,0,0,0,-3,0,0,,1
178,,64,0,0,1,0,0,8,0,0,,2
181,,8,0,0,0,0,0,7,0,0,,1
183,,90,0,0,0,2,0,9,0,0,,2
187,,90,0,0,0,0,0,7,0,0,,2
191,,81,0,0,0,0,0,11,0,0,,2
193,,8,0,0,0,0,0,4,0,0,,1
195,,90,0,0,0,0,0,5,1,0,,1
198,,90,0,0,0,0,0,8,0,0,,2
200,,90,0,0,0,0,0,5,0,0,,2
202,,8,0,0,0,0,0,3,0,0,,1
207,,69,0,0,0,0,0,1,1,0,,1
209,,19,0,0,0,0,0,0,0,0,,1
210,,81,0,0,0,0,0,7,0,0,,2
215,,90,0,0,0,0,0,6,1,0,,1
216,,20,0,0,0,0,0,4,0,0,,1
220,,90,0,0,0,2,0,11,0,0,,2
224,,90,0,0,0,0,0,6,1,0,,1
226,,16,0,0,0,0,0,4,0,0,,1
230,,80,0,0,0,0,0,11,0,0,,2
231,,9,0,0,0,0,0,3,0,0,,1
233,,73,0,0,0,0,0,8,0,0,,2
235,,88,0,0,0,0,0,9,0,0,,2
236,,88,0,1,0,0,0,20,0,0,,5
237,,90,1,1,0,0,3,46,0,0,,13
241,,90,0,0,0,0,0,17,0,0,,2
242,,90,0,0,0,0,0,28,0,0,,2
243,,17,0,0,0,0,0,10,0,0,,1
246,,90,1,0,0,0,3,46,0,0,,10
247,,1,0,0,0,0,0,0,1,0,,0
250,,88,0,0,0,0,0,-1,1,0,,1
253,,90,0,0,0,1,0,2,1,0,,0
256,,90,0,1,0,0,0,17,0,0,,6
257,,60,0,0,0,0,0,5,0,0,,2
258,,90,0,0,0,0,0,10,0,0,,1
260,,90,0,0,0,0,0,11,0,0,,2
261,,29,0,0,0,0,0,-3,1,0,,0
262,,73,0,0,0,0,0,5,0,0,,2
266,,72,0,0,1,0,0,19,0,0,,3
267,,90,1,0,0,0,0,19,0,0,,7
271,,90,0,0,0,0,0,19,0,0,,4
272,,16,0,0,0,0,0,2,1,0,,0
273,,90,1,0,0,0,2,38,0,0,,11
283,,29,0,0,0,0,0,3,0,0,,1
287,,90,0,0,0,0,0,-1,0,0,,1
291,,90,0,0,0,0,0,6,0,0,,3
292,,90,0,0,0,0,0,4,0,0,,1
293,,87,0,0,0,0,0,-7,1,0,,0
294,,2,0,0,0,0,0,-3,0,0,,1
295,,90,0,1,0,0,0,12,0,0,,4
299,,90,0,0,0,0,0,3,0,0,,2
300,,2,0,0,0,0,0,3,0,0,,1
303,,90,0,0,0,0,0,14,1,0,,1
304,,72,0,0,0,0,0,4,1,0,,1
310,,17,0,0,0,0,0,3,0,0,,1
311,,72,0,0,0,0,0,3,0,0,,2
314,,90,0,0,0,2,0,15,0,0,,2
316,,90,1,0,0,0,2,32,0,0,,12
318,,90,0,0,0,0,0,19,0,0,,2
319,,90,0,1,0,0,0,25,0,0,,5
320,,90,0,0,0,0,0,9,0,0,,2
324,,66,0,0,0,0,0,15,0,0,,2
325,,78,0,0,0,0,0,18,0,0,,2
329,,11,0,0,0,0,0,4,0,0,,1
