player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
2,,90,0,0,0,2,0,11,0,0,,2
5,,45,0,0,0,0,0,7,0,0,,1
7,,45,0,0,0,0,0,4,0,0,,1
10,,90,0,0,0,0,0,12,0,0,,2
18,,83,1,0,1,0,3,46,0,0,,11
19,,90,0,1,0,0,2,28,0,0,,7
22,,28,0,0,0,0,0,-2,0,0,,1
24,,45,0,0,0,0,0,9,0,0,,1
26,,90,0,0,0,0,0,14,0,0,,2
27,,1,0,0,0,0,0,3,0,0,,1
30,,45,0,1,0,0,0,17,0,0,,4
31,,74,1,0,1,0,0,19,1,0,,5
33,,90,0,0,0,2,0,10,0,0,,2
36,,45,0,0,0,0,0,4,0,0,,1
39,,90,0,0,0,0,1,23,0,0,,5
40,,90,0,0,0,0,0,13,0,0,,4
41,,17,0,0,0,0,0,0,0,0,,1
42,,45,0,0,0,0,0,5,0,0,,1
44,,72,0,0,0,0,0,5,0,0,,2
48,,17,0,0,0,0,0,11,0,0,,1
49,,90,0,1,0,0,0,13,0,0,,5
50,,90,0,0,0,0,2,32,0,0,,6
52,,90,0,0,0,0,0,21,0,0,,4
54,,4,0,0,0,0,0,7,0,0,,1
55,,85,0,1,0,0,0,19,0,0,,5
59,,17,0,0,0,0,0,5,0,0,,1
64,,90,2,0,0,0,3,63,0,0,,13
67,,90,0,0,0,3,0,14,0,0,,3
72,,90,0,0,0,0,0,11,0,0,,2
73,,89,0,0,0,0,0,12,0,0,,2
74,,90,0,1,0,0,1,25,0,0,,6
77,,90,0,0,0,0,0,5,1,0,,3
81,,17,0,0,0,0,0,2,0,0,,1
82,,57,1,0,0,0,0,18,0,0,,6
83,,90,0,0,0,0,0,2,0,0,,2
84,,90,1,0,0,0,3,38,0,0,,10
85,,90,0,0,0,0,0,14,0,0,,4
88,,1,0,0,0,0,0,3,0,0,,1
97,,72,0,0,0,0,0,9,0,0,,2
98,,17,0,0,0,0,0,6,0,0,,1
100,,72,0,0,0,0,0,12,0,0,,2
101,,90,0,0,0,7,2,26,0,0,,6
106,,90,0,0,0,0,0,13,1,0,,3
107,,88,0,1,0,0,0,23,0,0,,5
110,,90,0,0,0,0,0,8,0,0,,2
113,,90,0,0,0,0,0,6,0,0,,4
116,,30,0,0,0,0,0,2,0,0,,1
119,,73,1,0,1,0,1,30,0,0,,9
120,,90,1,0,0,0,0,20,0,0,,7
121,,7,0,0,0,0,0,8,0,0,,1
124,,59,0,0,0,0,0,7,1,0,,0
125,,90,0,0,0,0,0,19,1,0,,1
126,,82,0,0,0,0,0,12,0,0,,2
135,,24,0,0,0,0,0,2,1,0,,0
136,,90,0,0,0,0,0,8,0,0,,2
139,,90,0,0,0,5,0,12,0,0,,2
145,,45,0,0,0,0,0,-1,0,0,,0
146,,90,0,0,0,0,0,4,0,0,,1
148,,90,0,0,0,0,0,1,0,0,,1
151,,90,0,0,0,0,0,2,0,0,,1
158,,16,0,0,0,0,0,1,0,0,,1
159,,31,0,0,0,0,0,9,0,0,,1
160,,45,0,0,0,0,0,6,0,0,,1
163,,73,0,0,0,0,0,10,0,0,,2
167,,31,0,0,0,0,0,9,0,0,,1
168,,12,0,0,0,0,0,4,0,0,,1
169,,58,0,0,0,0,0,4,0,0,,1
170,,58,0,0,0,0,0,5,0,0,,1
173,,90,0,0,0,0,0,11,0,0,,2
178,,58,0,0,0,0,0,-1,0,0,,1
181,,31,0,0,0,0,0,4,0,0,,1
182,,90,0,0,0,3,0,5,0,0,,2
183,,90,0,0,0,3,0,17,0,0,,3
187,,90,0,0,0,0,0,11,0,0,,2
193,,90,0,0,0,0,0,10,0,0,,2
195,,90,0,0,0,0,0,17,0,0,,2
198,,90,0,0,0,0,0,11,0,0,,2
200,,84,0,0,0,0,0,11,0,0,,2
202,,5,0,0,0,0,0,4,0,0,,1
206,,15,0,0,0,0,0,9,0,0,,1
207,,65,0,0,0,0,0,15,1,0,,1
210,,74,0,1,0,0,0,13,0,0,,5
215,,84,1,0,0,0,3,32,0,0,,9
216,,24,0,0,0,0,0,0,0,0,,1
218,,5,0,0,0,0,0,1,1,0,,0
220,,90,0,0,0,5,0,17,0,0,,2
224,,90,0,0,0,0,0,-1,0,0,,1
225,,38,0,0,0,0,0,5,0,0,,1
226,,25,0,0,0,0,0,5,0,0,,1
227,,90,0,0,0,0,0,12,0,0,,3
228,,84,0,0,0,0,0,0,0,0,,-1
230,,61,0,0,0,0,0,-9,0,1,,-2
233,,5,0,0,0,0,0,3,0,0,,1
235,,90,1,0,0,0,2,26,1,0,,8
236,,64,0,1,0,0,1,23,0,0,,6
237,,90,0,0,0,0,0,7,1,0,,1
241,,84,0,0,0,0,0,12,0,0,,2
242,,83,0,0,0,0,0,7,0,0,,2
243,,28,0,0,0,0,0,6,0,0,,1
249,,90,0,0,0,0,0,0,1,0,,1
250,,5,0,0,0,0,0,1,0,0,,1
253,,90,0,0,0,5,0,15,0,0,,2
256,,45,0,0,0,0,0,-3,0,0,,1
258,,45,0,0,0,0,0,2,0,0,,1
262,,90,0,0,0,0,0,14,0,0,,3
263,,90,0,0,0,0,0,1,0,0,,1
266,,15,0,0,0,0,0,5,0,0,,1
267,,45,0,0,0,0,0,4,0,0,,1
270,,90,0,0,0,0,0,16,0,0,,2
271,,45,0,0,0,0,0,3,0,0,,1
272,,90,0,0,0,0,0,14,0,0,,4
273,,16,0,0,0,0,0,4,0,0,,1
276,,90,0,0,0,0,0,7,0,0,,2
283,,13,1,0,0,0,1,27,0,0,,6
287,,90,0,0,0,1,0,8,0,0,,2
291,,90,0,0,0,0,0,3,1,0,,3
292,,90,0,0,0,0,0,9,0,0,,2
293,,61,0,0,0,0,0,3,1,0,,1
294,,6,0,0,0,0,0,6,0,0,,1
295,,90,0,0,0,0,0,6,0,0,,4
299,,90,0,0,0,0,0,12,0,0,,2
301,,6,0,0,0,0,0,7,0,0,,1
