gw,club,opp,home_away,fdr,fixture_congestion,blank,double
24,BHA,EVE,H,2,1,N,N
24,EVE,BHA,A,3,1,N,N
24,LEE,ARS,H,4,1,N,N
24,ARS,LEE,A,3,1,N,N
24,WOL,BOU,H,3,1,N,N
24,BOU,WOL,A,2,1,N,N
24,CHE,WHU,H,2,1,N,N
24,WHU,CHE,A,3,1,N,N
24,LIV,NEW,H,3,1,N,N
24,NEW,LIV,A,4,1,N,N
24,AVL,BRE,H,3,1,N,N
24,BRE,AVL,A,3,1,N,N
24,MUN,FUL,H,2,1,N,N
24,FUL,MUN,A,3,1,N,N
24,NFO,CRY,H,3,1,N,N
24,CRY,NFO,A,3,1,N,N
24,TOT,MCI,H,4,1,N,N
24,MCI,TOT,A,3,1,N,N
24,SUN,BUR,H,2,1,N,N
24,BUR,SUN,A,3,1,N,N
25,LEE,NFO,H,2,1,N,N
25,NFO,LEE,A,3,1,N,N
25,MUN,TOT,H,3,1,N,N
25,TOT,MUN,A,3,1,N,N
25,ARS,SUN,H,2,1,N,N
25,SUN,ARS,A,5,1,N,N
25,BOU,AVL,H,3,1,N,N
25,AVL,BOU,A,4,1,N,N
25,BUR,WHU,H,2,1,N,N
25,WHU,BUR,A,2,1,N,N
25,FUL,EVE,H,2,1,N,N
25,EVE,FUL,A,3,1,N,N
25,WOL,CHE,H,3,1,N,N
25,CHE,WOL,A,2,1,N,N
25,NEW,BRE,H,3,1,N,N
25,BRE,NEW,A,4,1,N,N
25,BHA,CRY,H,3,1,N,N
25,CRY,BHA,A,3,1,N,N
25,LIV,MCI,H,4,1,N,N
25,MCI,LIV,A,4,1,N,N
26,CHE,LEE,H,2,1,N,N
26,LEE,CHE,A,3,1,N,N
26,EVE,BOU,H,3,1,N,N
26,BOU,EVE,A,3,1,N,N
26,TOT,NEW,H,3,1,N,N
26,NEW,TOT,A,3,1,N,N
26,WHU,MUN,H,3,1,N,N
26,MUN,WHU,A,2,1,N,N
26,AVL,BHA,H,3,1,N,N
26,BHA,AVL,A,3,1,N,N
26,CRY,BUR,H,2,1,N,N
26,BUR,CRY,A,3,1,N,N
26,MCI,FUL,H,2,1,N,N
26,FUL,MCI,A,4,1,N,N
26,NFO,WOL,H,2,1,N,N
26,WOL,NFO,A,3,1,N,N
26,SUN,LIV,H,4,1,N,N
26,LIV,SUN,A,3,1,N,N
26,BRE,ARS,H,4,1,N,N
26,ARS,BRE,A,3,1,N,N
27,MCI,NEW,H,3,1,N,N
27,NEW,MCI,A,4,1,N,N
27,AVL,LEE,H,2,1,N,N
27,LEE,AVL,A,3,1,N,N
27,BRE,BHA,H,3,1,N,N
27,BHA,BRE,A,3,1,N,N
27,CHE,BUR,H,2,1,N,N
27,BUR,CHE,A,3,1,N,N
27,NFO,LIV,H,4,1,N,N
27,LIV,NFO,A,3,1,N,N
27,WHU,BOU,H,3,1,N,N
27,BOU,WHU,A,2,1,N,N
27,CRY,WOL,H,2,1,N,N
27,WOL,CRY,A,3,1,N,N
27,SUN,FUL,H,2,1,N,N
27,FUL,SUN,A,3,1,N,N
27,TOT,ARS,H,4,1,N,N
27,ARS,TOT,A,3,1,N,N
27,EVE,MUN,H,3,1,N,N
27,MUN,EVE,A,3,1,N,N
28,WOL,AVL,H,3,1,N,N
28,AVL,WOL,A,2,1,N,N
28,BOU,SUN,H,2,1,N,N
28,SUN,BOU,A,4,1,N,N
28,BHA,NFO,H,2,1,N,N
28,NFO,BHA,A,3,1,N,N
28,BUR,BRE,H,3,1,N,N
28,BRE,BUR,A,2,1,N,N
28,LIV,WHU,H,2,1,N,N
28,WHU,LIV,A,4,1,N,N
28,NEW,EVE,H,2,1,N,N
28,EVE,NEW,A,4,1,N,N
28,LEE,MCI,H,4,1,N,N
28,MCI,LEE,A,3,1,N,N
28,FUL,TOT,H,3,1,N,N
28,TOT,FUL,A,3,1,N,N
28,MUN,CRY,H,3,1,N,N
28,CRY,MUN,A,3,1,N,N
28,ARS,CHE,H,3,1,N,N
28,CHE,ARS,A,5,1,N,N
