player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
430,Erling Haaland,FWD,MCI,15.1,73.7,,,,,,,,,100.0,,,,,1.0
82,Antoine Semenyo,MID,MCI,7.7,47.1,,,,,,,,,100.0,,,,,1.0
136,Igor Thiago Nascimento Rodrigues,FWD,BRE,7.2,38.2,,,,,,,,,100.0,,,,,1.0
260,Marc Guéhi,DEF,MCI,5.2,37.5,,,,,,,,,100.0,,,,,1.0
5,Gabriel dos Santos Magalhães,DEF,ARS,6.9,36.7,,,,,,,,,100.0,,,,,1.0
1,David Raya Martín,GKP,ARS,5.9,33.3,,,,,,,,,,,,,,1.0
470,Martin Dúbravka,GKP,BUR,4.0,32.9,,,,,,,,,100.0,,,,,1.0
21,Declan Rice,MID,ARS,7.4,31.4,,,,,,,,,100.0,,,,,1.0
47,Morgan Rogers,MID,AVL,7.7,31.0,,,,,,,,,100.0,,,,,1.0
8,Jurriën Timber,DEF,ARS,6.3,28.2,,,,,,,,,100.0,,,,,1.0
575,Micky van de Ven,DEF,TOT,4.6,28.0,,,,,,,,,,,,,,1.0
249,João Pedro Junqueira de Jesus,FWD,CHE,7.1,27.3,,,,,,,,,,,,,,1.0
661,Hugo Ekitiké,FWD,LIV,8.9,26.4,,,,,,,,,100.0,,,,,1.0
329,Harry Wilson,MID,FUL,6.0,23.3,,,,,,,,,100.0,,,,,1.0
414,Phil Foden,MID,MCI,8.5,22.7,,,,,,,,,100.0,,,,,1.0
373,Virgil van Dijk,DEF,LIV,5.9,22.2,,,,,,,,,,,,,,1.0
488,Bruno Guimarães Rodriguez Moura,MID,NEW,7.3,21.3,,,,,,,,,75.0,,,,,1.0
226,Trevoh Chalobah,DEF,CHE,5.6,20.2,,,,,,,,,100.0,,,,,1.0
449,Bruno Borges Fernandes,MID,MUN,9.4,20.1,,,,,,,,,100.0,,,,,1.0
16,Bukayo Saka,MID,ARS,10.1,17.6,,,,,,,,,100.0,,,,,1.0
224,Marc Cucurella Saseta,DEF,CHE,6.0,16.0,,,,,,,,,100.0,,,,,1.0
381,Mohamed Salah,MID,LIV,14.0,14.3,,,,,,,,,100.0,,,,,1.0
237,Enzo Fernández,MID,CHE,6.6,14.1,,,,,,,,,100.0,,,,,1.0
691,Dominic Calvert-Lewin,FWD,LEE,6.0,13.9,,,,,,,,,100.0,,,,,1.0
291,James Tarkowski,DEF,EVE,5.8,13.9,,,,,,,,,,,,,,1.0
220,Robert Lynch Sánchez,GKP,CHE,4.9,13.9,,,,,,,,,100.0,,,,,1.0
72,Marcos Senesi Barón,DEF,BOU,4.8,13.8,,,,,,,,,100.0,,,,,1.0
287,Jordan Pickford,GKP,EVE,5.6,13.7,,,,,,,,,,,,,,1.0
714,Nick Woltemade,FWD,NEW,7.2,13.5,,,,,,,,,,,,,,1.0
382,Florian Wirtz,MID,LIV,8.3,13.4,,,,,,,,,100.0,,,,,1.0
670,Robin Roefs,GKP,SUN,5.0,13.1,,,,,,,,,,,,,,1.0
417,Rayan Cherki,MID,MCI,6.7,12.9,,,,,,,,,100.0,,,,,1.0
