gw,club,opp,home_away,fdr,fixture_congestion,blank,double
18,MUN,NEW,H,3,1,N,N
18,NEW,MUN,A,3,1,N,N
18,NFO,MCI,H,4,1,N,N
18,MCI,NFO,A,3,1,N,N
18,ARS,BHA,H,3,1,N,N
18,BHA,ARS,A,5,1,N,N
18,BRE,BOU,H,3,1,N,N
18,BOU,BRE,A,3,1,N,N
18,BUR,EVE,H,2,1,N,N
18,EVE,BUR,A,2,1,N,N
18,LIV,WOL,H,2,1,N,N
18,WOL,LIV,A,4,1,N,N
18,WHU,FUL,H,2,1,N,N
18,FUL,WHU,A,2,1,N,N
18,CHE,AVL,H,3,1,N,N
18,AVL,CHE,A,3,1,N,N
18,SUN,LEE,H,2,1,N,N
18,LEE,SUN,A,3,1,N,N
18,CRY,TOT,H,3,1,N,N
18,TOT,CRY,A,3,1,N,N
19,BUR,NEW,H,3,1,N,N
19,NEW,BUR,A,2,1,N,N
19,CHE,BOU,H,3,1,N,N
19,BOU,CHE,A,3,1,N,N
19,NFO,EVE,H,2,1,N,N
19,EVE,NFO,A,3,1,N,N
19,WHU,BHA,H,3,1,N,N
19,BHA,WHU,A,2,1,N,N
19,ARS,AVL,H,3,1,N,N
19,AVL,ARS,A,5,1,N,N
19,MUN,WOL,H,2,1,N,N
19,WOL,MUN,A,3,1,N,N
19,CRY,FUL,H,2,1,N,N
19,FUL,CRY,A,3,1,N,N
19,LIV,LEE,H,2,1,N,N
19,LEE,LIV,A,4,1,N,N
19,BRE,TOT,H,3,1,N,N
19,TOT,BRE,A,3,1,N,N
19,SUN,MCI,H,4,1,N,N
19,MCI,SUN,A,3,1,N,N
20,AVL,NFO,H,2,1,N,N
20,NFO,AVL,A,3,1,N,N
20,BHA,BUR,H,2,1,N,N
20,BUR,BHA,A,3,1,N,N
20,WOL,WHU,H,2,1,N,N
20,WHU,WOL,A,2,1,N,N
20,BOU,ARS,H,4,1,N,N
20,ARS,BOU,A,4,1,N,N
20,LEE,MUN,H,3,1,N,N
20,MUN,LEE,A,3,1,N,N
20,EVE,BRE,H,3,1,N,N
20,BRE,EVE,A,3,1,N,N
20,FUL,LIV,H,4,1,N,N
20,LIV,FUL,A,3,1,N,N
20,NEW,CRY,H,3,1,N,N
20,CRY,NEW,A,4,1,N,N
20,TOT,SUN,H,2,1,N,N
20,SUN,TOT,A,3,1,N,N
20,MCI,CHE,H,3,1,N,N
20,CHE,MCI,A,4,1,N,N
21,WHU,NFO,H,2,1,N,N
21,NFO,WHU,A,2,1,N,N
21,BOU,TOT,H,3,1,N,N
21,TOT,BOU,A,4,1,N,N
21,BRE,SUN,H,2,1,N,N
21,SUN,BRE,A,3,1,N,N
21,CRY,AVL,H,3,1,N,N
21,AVL,CRY,A,3,1,N,N
21,EVE,WOL,H,2,1,N,N
21,WOL,EVE,A,3,1,N,N
21,FUL,CHE,H,3,1,N,N
21,CHE,FUL,A,3,1,N,N
21,MCI,BHA,H,3,1,N,N
21,BHA,MCI,A,4,1,N,N
21,BUR,MUN,H,3,1,N,N
21,MUN,BUR,A,2,1,N,N
21,NEW,LEE,H,2,1,N,N
21,LEE,NEW,A,4,1,N,N
21,ARS,LIV,H,4,1,N,N
21,LIV,ARS,A,5,1,N,N
22,MUN,MCI,H,4,1,N,N
22,MCI,MUN,A,3,1,N,N
22,CHE,BRE,H,3,1,N,N
22,BRE,CHE,A,3,1,N,N
22,LEE,FUL,H,2,1,N,N
22,FUL,LEE,A,3,1,N,N
22,LIV,BUR,H,2,1,N,N
22,BUR,LIV,A,4,1,N,N
22,TOT,WHU,H,2,1,N,N
22,WHU,TOT,A,3,1,N,N
22,SUN,CRY,H,3,1,N,N
22,CRY,SUN,A,3,1,N,N
22,NFO,ARS,H,4,1,N,N
22,ARS,NFO,A,3,1,N,N
22,WOL,NEW,H,3,1,N,N
22,NEW,WOL,A,2,1,N,N
22,AVL,EVE,H,2,1,N,N
22,EVE,AVL,A,3,1,N,N
22,BHA,BOU,H,3,1,N,N
22,BOU,BHA,A,3,1,N,N
