gw,club,opp,home_away,fdr,fixture_congestion,blank,double
5,BRE,CHE,H,4,1,N,N
5,CHE,BRE,A,3,1,N,N
5,TOT,AVL,H,3,1,N,N
5,AVL,TOT,A,3,1,N,N
5,BHA,ARS,H,4,1,N,N
5,ARS,BHA,A,3,1,N,N
5,EVE,IPS,H,2,1,N,N
5,IPS,EVE,A,3,1,N,N
5,NEW,HUL,H,2,1,N,N
5,HUL,NEW,A,3,1,N,N
5,NFO,COV,H,2,1,N,N
5,COV,NFO,A,3,1,N,N
5,BOU,LIV,H,4,1,N,N
5,LIV,BOU,A,3,1,N,N
5,LEE,CRY,H,3,1,N,N
5,CRY,LEE,A,3,1,N,N
5,MCI,SUN,H,2,1,N,N
5,SUN,MCI,A,5,1,N,N
5,FUL,MUN,H,4,1,N,N
5,MUN,FUL,A,3,1,N,N
6,ARS,LEE,H,2,1,N,N
6,LEE,ARS,A,5,1,N,N
6,AVL,BRE,H,3,1,N,N
6,BRE,AVL,A,4,1,N,N
6,CHE,BOU,H,3,1,N,N
6,BOU,CHE,A,4,1,N,N
6,IPS,FUL,H,2,1,N,N
6,FUL,IPS,A,2,1,N,N
6,SUN,BHA,H,2,1,N,N
6,BHA,SUN,A,3,1,N,N
6,MUN,TOT,H,3,1,N,N
6,TOT,MUN,A,4,1,N,N
6,CRY,NFO,H,3,1,N,N
6,NFO,CRY,A,3,1,N,N
6,HUL,EVE,H,3,1,N,N
6,EVE,HUL,A,2,1,N,N
6,LIV,MCI,H,4,1,N,N
6,MCI,LIV,A,4,1,N,N
6,COV,NEW,H,2,1,N,N
6,NEW,COV,A,2,1,N,N
7,EVE,CHE,H,4,1,N,N
7,CHE,EVE,A,3,1,N,N
7,BRE,LIV,H,4,1,N,N
7,LIV,BRE,A,3,1,N,N
7,FUL,HUL,H,2,1,N,N
7,HUL,FUL,A,3,1,N,N
7,MCI,IPS,H,2,1,N,N
7,IPS,MCI,A,5,1,N,N
7,NEW,AVL,H,3,1,N,N
7,AVL,NEW,A,3,1,N,N
7,BOU,SUN,H,2,1,N,N
7,SUN,BOU,A,3,1,N,N
7,BHA,CRY,H,3,1,N,N
7,CRY,BHA,A,3,1,N,N
7,LEE,MUN,H,4,1,N,N
7,MUN,LEE,A,3,1,N,N
7,NFO,ARS,H,4,1,N,N
7,ARS,NFO,A,3,1,N,N
7,TOT,COV,H,2,1,N,N
7,COV,TOT,A,3,1,N,N
8,IPS,NFO,H,3,1,N,N
8,NFO,IPS,A,2,1,N,N
8,AVL,MCI,H,4,1,N,N
8,MCI,AVL,A,4,1,N,N
8,ARS,EVE,H,3,1,N,N
8,EVE,ARS,A,5,1,N,N
8,COV,FUL,H,2,1,N,N
8,FUL,COV,A,2,1,N,N
8,CHE,TOT,H,3,1,N,N
8,TOT,CHE,A,4,1,N,N
8,CRY,NEW,H,2,1,N,N
8,NEW,CRY,A,3,1,N,N
8,HUL,BRE,H,3,1,N,N
8,BRE,HUL,A,2,1,N,N
8,LIV,BHA,H,2,1,N,N
8,BHA,LIV,A,4,1,N,N
8,MUN,BOU,H,3,1,N,N
8,BOU,MUN,A,4,1,N,N
8,SUN,LEE,H,2,1,N,N
8,LEE,SUN,A,3,1,N,N
9,CHE,MUN,H,4,1,N,N
9,MUN,CHE,A,4,1,N,N
9,BOU,LEE,H,2,1,N,N
9,LEE,BOU,A,3,1,N,N
9,BRE,NFO,H,3,1,N,N
9,NFO,BRE,A,3,1,N,N
9,COV,SUN,H,2,1,N,N
9,SUN,COV,A,2,1,N,N
9,HUL,IPS,H,2,1,N,N
9,IPS,HUL,A,2,1,N,N
9,MCI,BHA,H,2,1,N,N
9,BHA,MCI,A,5,1,N,N
9,TOT,CRY,H,3,1,N,N
9,CRY,TOT,A,3,1,N,N
9,AVL,FUL,H,2,1,N,N
9,FUL,AVL,A,4,1,N,N
9,LIV,ARS,H,4,1,N,N
9,ARS,LIV,A,4,1,N,N
9,NEW,EVE,H,3,1,N,N
9,EVE,NEW,A,3,1,N,N
