player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
1,,90,0,0,0,2,0,13,0,0,,2
5,,90,0,0,0,0,0,13,0,0,,2
6,,90,0,0,0,0,0,15,0,0,,2
7,,90,0,0,0,0,0,7,0,0,,2
8,,79,0,0,0,0,0,16,1,0,,1
12,,90,0,0,0,0,0,19,0,0,,2
16,,45,0,0,0,0,0,7,0,0,,1
18,,45,0,0,0,0,0,-2,0,0,,1
19,,10,1,0,0,0,1,22,0,0,,7
20,,83,0,0,0,0,0,13,0,0,,2
21,,90,0,0,0,0,1,22,0,0,,3
22,,45,0,0,0,0,0,6,0,0,,1
25,,6,0,0,0,0,0,3,0,0,,1
26,,90,0,0,0,0,0,13,0,0,,2
32,,90,0,0,0,3,0,12,0,0,,3
36,,90,1,0,0,0,2,29,0,0,,10
37,,57,0,0,0,0,0,6,0,0,,1
38,,90,0,0,0,0,0,10,0,0,,2
39,,32,0,0,0,0,0,-2,1,0,,0
40,,90,0,0,0,0,0,16,0,0,,4
44,,8,0,0,0,0,0,2,0,0,,1
47,,81,0,0,0,0,0,5,0,0,,2
50,,57,0,0,0,0,0,0,0,0,,1
53,,17,0,0,0,0,0,4,0,0,,1
54,,90,0,0,0,0,0,15,0,0,,2
58,,81,0,1,0,0,1,28,0,0,,6
64,,90,0,0,0,0,0,4,0,0,,2
67,,90,0,0,1,1,0,22,0,0,,6
72,,90,0,0,1,0,1,27,0,0,,9
74,,90,0,0,1,0,3,29,0,0,,9
77,,45,0,0,0,0,0,4,0,0,,1
81,,27,0,0,0,0,0,4,0,0,,1
82,,90,0,0,1,0,0,9,0,0,,5
83,,25,0,0,0,0,0,-2,0,0,,1
84,,74,0,0,1,0,0,4,0,0,,3
85,,90,0,0,1,0,0,19,0,0,,3
86,,62,0,0,1,0,0,8,0,0,,3
87,,27,0,0,0,0,0,4,0,0,,1
90,,62,0,0,1,0,0,12,0,0,,3
97,,90,0,0,1,0,0,9,0,0,,2
101,,90,0,0,0,2,0,1,0,0,,1
106,,90,0,0,0,0,0,1,1,0,,0
107,,65,0,0,0,0,0,-4,0,0,,1
108,,16,0,0,0,0,0,4,0,0,,1
109,,24,0,0,0,0,0,0,0,0,,1
110,,90,0,0,0,0,0,5,0,0,,1
111,,73,0,0,0,0,0,-4,0,0,,-1
113,,90,0,0,0,0,0,3,0,0,,1
119,,69,0,0,1,0,0,7,0,0,,3
120,,90,0,0,0,0,0,7,0,0,,2
121,,86,1,0,0,0,1,32,0,0,,8
123,,3,0,0,0,0,0,3,0,0,,1
124,,73,0,0,0,0,0,8,0,0,,2
125,,16,0,0,0,0,0,2,0,0,,1
129,,90,0,0,0,0,0,13,0,0,,2
136,,64,0,0,0,0,0,5,0,0,,2
139,,90,0,0,0,2,0,6,0,0,,1
144,,15,0,0,0,0,0,0,0,0,,1
146,,90,0,0,0,0,0,10,0,0,,3
148,,84,0,0,0,0,0,9,0,0,,1
151,,90,0,0,0,0,0,5,0,0,,1
152,,90,0,0,0,0,0,11,0,0,,3
157,,90,0,0,0,0,0,9,0,0,,2
158,,74,0,1,0,0,0,16,0,0,,5
160,,75,1,0,0,0,2,32,0,0,,9
162,,62,0,0,0,0,0,5,0,0,,2
166,,90,1,0,0,0,1,28,0,0,,8
167,,45,0,0,0,0,0,6,0,0,,1
169,,45,0,0,0,0,0,5,1,0,,0
170,,27,0,0,0,0,0,5,0,0,,1
173,,5,0,0,0,0,0,2,0,0,,1
178,,15,0,0,0,0,0,3,0,0,,1
187,,90,0,0,0,0,0,10,0,0,,2
190,,90,0,0,0,0,0,5,0,0,,2
191,,90,0,0,0,0,0,14,0,0,,4
192,,90,0,0,0,0,0,10,0,0,,2
200,,90,1,0,0,0,3,37,0,0,,10
205,,90,0,0,0,0,0,15,0,0,,4
207,,9,0,0,0,0,0,5,0,0,,1
209,,90,0,0,0,0,0,11,0,0,,2
210,,80,0,0,0,0,0,6,0,0,,2
215,,4,0,0,0,0,0,3,0,0,,1
217,,85,0,1,0,0,1,27,0,0,,6
220,,4,0,0,0,1,0,-12,0,1,,-3
221,,84,0,0,0,1,0,4,0,0,,1
224,,63,0,0,0,0,0,-6,1,0,,0
225,,90,0,1,0,0,0,16,0,0,,4
226,,90,1,0,0,0,0,23,1,0,,8
228,,26,0,0,0,0,0,4,0,0,,1
230,,63,0,0,0,0,0,6,0,0,,1
232,,83,0,0,0,0,0,3,1,0,,0
235,,20,0,0,0,0,0,3,0,0,,1
236,,6,0,0,0,0,0,3,0,0,,1
237,,90,0,0,0,0,0,8,1,0,,1
238,,5,0,0,0,0,0,1,0,0,,1
241,,90,0,0,0,0,0,24,0,0,,4
242,,90,0,0,0,0,0,5,1,0,,1
243,,26,0,0,0,0,0,-7,1,0,,0
246,,69,0,0,0,0,0,17,0,0,,2
249,,90,0,0,0,0,0,7,0,0,,2
253,,90,0,0,0,2,0,11,1,0,,1
256,,90,0,0,0,0,0,7,0,0,,2
257,,90,0,0,0,0,0,7,0,0,,2
258,,90,1,0,0,0,1,29,1,0,,8
260,,90,0,1,0,0,0,25,0,0,,7
261,,90,0,0,0,0,0,20,0,0,,4
266,,45,0,1,0,0,0,16,0,0,,4
270,,64,0,0,0,0,0,8,0,0,,2
271,,90,0,0,0,0,0,19,0,0,,2
272,,25,0,0,0,0,0,5,1,0,,0
273,,74,0,1,0,0,2,30,0,0,,7
276,,45,0,0,0,0,0,5,0,0,,1
283,,90,1,0,0,0,0,28,0,0,,6
284,,15,0,0,0,0,0,3,0,0,,1
287,,90,0,0,0,1,0,3,0,0,,1
291,,90,0,0,0,0,0,12,0,0,,3
292,,85,0,0,0,0,0,0,0,0,,1
293,,90,0,0,0,0,0,0,0,0,,1
295,,90,0,0,0,0,0,9,0,0,,1
299,,85,0,1,0,0,0,25,1,0,,6
301,,4,0,0,0,0,0,3,0,0,,1
302,,90,1,0,0,0,1,35,0,0,,10
303,,90,0,0,0,0,0,17,0,0,,4
310,,45,0,0,0,0,0,1,0,0,,1
311,,45,0,0,0,0,0,1,0,0,,1
314,,90,0,0,0,2,0,9,1,0,,1
317,,90,0,0,0,0,0,15,0,0,,4
318,,90,0,0,0,0,0,15,0,0,,4
321,,4,0,0,0,0,0,6,0,0,,1
322,,90,0,0,0,0,0,11,0,0,,2
324,,79,1,1,0,0,3,47,0,0,,13
325,,10,0,0,0,0,0,4,0,0,,1
328,,90,0,1,0,0,0,25,0,0,,5
329,,85,1,0,0,0,2,35,0,0,,9
330,,90,0,0,0,0,0,15,0,0,,2
331,,4,0,0,0,0,0,4,0,0,,1
332,,85,0,0,0,0,0,6,1,0,,1
335,,66,0,0,0,0,0,3,1,0,,1
337,,10,0,0,0,0,0,2,0,0,,1
338,,79,0,1,0,0,0,13,0,0,,5
341,,90,0,0,0,5,0,23,0,0,,3
342,,82,0,1,0,0,0,6,1,0,,4
343,,90,0,0,0,0,0,14,0,0,,4
347,,90,0,0,0,0,0,11,0,0,,4
348,,90,0,0,0,0,0,12,0,0,,2
350,,90,0,0,0,0,0,9,0,0,,2
352,,20,0,0,0,0,0,4,0,0,,1
354,,90,0,0,0,0,0,18,0,0,,4
356,,1,0,0,0,0,0,3,0,0,,1
358,,7,0,0,0,0,0,4,0,0,,1
365,,1,0,0,0,0,0,3,0,0,,1
366,,90,0,0,0,1,0,11,0,0,,2
371,,90,0,0,0,0,0,15,0,0,,4
