gw,club,opp,home_away,fdr,fixture_congestion,blank,double
16,CHE,EVE,H,2,1,N,N
16,EVE,CHE,A,3,1,N,N
16,LIV,BHA,H,3,1,N,N
16,BHA,LIV,A,4,1,N,N
16,BUR,FUL,H,2,1,N,N
16,FUL,BUR,A,2,1,N,N
16,ARS,WOL,H,2,1,N,N
16,WOL,ARS,A,5,1,N,N
16,CRY,MCI,H,4,1,N,N
16,MCI,CRY,A,3,1,N,N
16,NFO,TOT,H,3,1,N,N
16,TOT,NFO,A,3,1,N,N
16,SUN,NEW,H,3,1,N,N
16,NEW,SUN,A,3,1,N,N
16,WHU,AVL,H,3,1,N,N
16,AVL,WHU,A,2,1,N,N
16,BRE,LEE,H,2,1,N,N
16,LEE,BRE,A,3,1,N,N
16,MUN,BOU,H,3,1,N,N
16,BOU,MUN,A,3,1,N,N
17,NEW,CHE,H,3,1,N,N
17,CHE,NEW,A,4,1,N,N
17,BOU,BUR,H,2,1,N,N
17,BUR,BOU,A,4,1,N,N
17,BHA,SUN,H,2,1,N,N
17,SUN,BHA,A,3,1,N,N
17,MCI,WHU,H,2,1,N,N
17,WHU,MCI,A,4,1,N,N
17,WOL,BRE,H,3,1,N,N
17,BRE,WOL,A,2,1,N,N
17,TOT,LIV,H,4,1,N,N
17,LIV,TOT,A,3,1,N,N
17,EVE,ARS,H,4,1,N,N
17,ARS,EVE,A,3,1,N,N
17,LEE,CRY,H,3,1,N,N
17,CRY,LEE,A,3,1,N,N
17,AVL,MUN,H,3,1,N,N
17,MUN,AVL,A,3,1,N,N
17,FUL,NFO,H,2,1,N,N
17,NFO,FUL,A,3,1,N,N
18,MUN,NEW,H,3,1,N,N
18,NEW,MUN,A,3,1,N,N
18,NFO,MCI,H,4,1,N,N
18,MCI,NFO,A,3,1,N,N
18,ARS,BHA,H,3,1,N,N
18,BHA,ARS,A,5,1,N,N
18,BRE,BOU,H,3,1,N,N
18,BOU,BRE,A,3,1,N,N
18,BUR,EVE,H,2,1,N,N
18,EVE,BUR,A,2,1,N,N
18,LIV,WOL,H,2,1,N,N
18,WOL,LIV,A,4,1,N,N
18,WHU,FUL,H,2,1,N,N
18,FUL,WHU,A,2,1,N,N
18,CHE,AVL,H,3,1,N,N
18,AVL,CHE,A,3,1,N,N
18,SUN,LEE,H,2,1,N,N
18,LEE,SUN,A,3,1,N,N
18,CRY,TOT,H,3,1,N,N
18,TOT,CRY,A,3,1,N,N
19,BUR,NEW,H,3,1,N,N
19,NEW,BUR,A,2,1,N,N
19,CHE,BOU,H,3,1,N,N
19,BOU,CHE,A,3,1,N,N
19,NFO,EVE,H,2,1,N,N
19,EVE,NFO,A,3,1,N,N
19,WHU,BHA,H,3,1,N,N
19,BHA,WHU,A,2,1,N,N
19,ARS,AVL,H,3,1,N,N
19,AVL,ARS,A,5,1,N,N
19,MUN,WOL,H,2,1,N,N
19,WOL,MUN,A,3,1,N,N
19,CRY,FUL,H,2,1,N,N
19,FUL,CRY,A,3,1,N,N
19,LIV,LEE,H,2,1,N,N
19,LEE,LIV,A,4,1,N,N
19,BRE,TOT,H,3,1,N,N
19,TOT,BRE,A,3,1,N,N
19,SUN,MCI,H,4,1,N,N
19,MCI,SUN,A,3,1,N,N
20,AVL,NFO,H,2,1,N,N
20,NFO,AVL,A,3,1,N,N
20,BHA,BUR,H,2,1,N,N
20,BUR,BHA,A,3,1,N,N
20,WOL,WHU,H,2,1,N,N
20,WHU,WOL,A,2,1,N,N
20,BOU,ARS,H,4,1,N,N
20,ARS,BOU,A,4,1,N,N
20,LEE,MUN,H,3,1,N,N
20,MUN,LEE,A,3,1,N,N
20,EVE,BRE,H,3,1,N,N
20,BRE,EVE,A,3,1,N,N
20,FUL,LIV,H,4,1,N,N
20,LIV,FUL,A,3,1,N,N
20,NEW,CRY,H,3,1,N,N
20,CRY,NEW,A,4,1,N,N
20,TOT,SUN,H,2,1,N,N
20,SUN,TOT,A,3,1,N,N
20,MCI,CHE,H,3,1,N,N
20,CHE,MCI,A,4,1,N,N
