player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
32,,90,0,0,1,1,0,26,0,0,,6
36,,90,0,0,1,0,0,24,0,0,,6
37,,90,0,0,1,0,1,30,0,0,,7
38,,90,0,0,1,0,0,24,0,0,,6
41,,90,0,0,1,0,0,28,0,0,,6
47,,76,0,1,1,0,0,21,0,0,,6
48,,23,0,0,0,0,0,9,0,0,,1
49,,23,0,0,0,0,0,2,0,0,,1
50,,13,0,0,0,0,0,5,0,0,,1
52,,90,0,0,0,0,0,16,0,0,,2
54,,66,1,0,1,0,2,35,0,0,,10
55,,66,0,0,1,0,0,20,0,0,,3
59,,90,0,0,1,0,0,21,0,0,,5
64,,86,1,0,1,0,3,38,0,0,,9
67,,90,0,0,0,4,0,12,0,0,,2
72,,90,0,0,0,0,0,5,0,0,,1
73,,17,0,0,0,0,0,3,1,0,,0
74,,90,0,1,0,0,0,19,0,0,,4
77,,90,0,0,0,0,0,4,0,0,,-1
83,,13,0,0,0,0,0,5,0,0,,1
84,,90,0,0,0,0,0,13,0,0,,2
86,,17,0,0,0,0,0,3,0,0,,1
87,,72,1,0,0,0,2,31,0,0,,9
90,,90,0,0,0,0,0,18,0,0,,2
97,,90,0,1,0,0,0,15,0,0,,5
100,,17,1,0,0,0,0,16,0,0,,5
101,,90,0,0,1,4,2,32,0,0,,9
106,,90,0,0,1,0,0,23,0,0,,6
107,,90,0,0,1,0,0,29,0,0,,6
110,,90,0,0,1,0,0,17,0,0,,6
111,,90,0,0,1,0,2,32,0,0,,10
113,,90,0,0,1,0,0,23,0,0,,6
119,,70,0,0,0,0,0,11,0,0,,2
120,,76,0,0,1,0,0,4,0,0,,3
124,,90,0,0,1,0,0,11,0,0,,5
126,,90,0,0,1,0,0,12,0,0,,5
129,,90,0,0,1,0,0,13,0,0,,3
135,,1,0,0,0,0,0,4,0,0,,1
136,,90,0,0,1,0,0,12,0,0,,4
139,,90,0,0,0,4,0,18,0,0,,3
146,,90,0,0,0,0,0,6,1,0,,1
148,,90,0,0,0,0,0,10,0,0,,2
151,,90,0,0,0,0,0,18,0,0,,4
152,,1,0,0,0,0,0,3,0,0,,1
157,,14,0,0,0,0,0,1,0,0,,1
158,,7,0,0,0,0,0,0,0,0,,1
160,,75,0,0,0,0,0,9,1,0,,1
163,,82,0,1,0,0,0,16,0,0,,5
166,,7,0,0,0,0,0,8,0,0,,1
167,,14,0,0,0,0,0,3,0,0,,1
169,,90,0,1,0,0,0,20,1,0,,6
170,,75,0,0,0,0,0,11,0,0,,2
173,,90,0,0,0,0,0,6,1,0,,1
178,,82,2,0,0,0,3,65,1,0,,12
187,,86,0,0,0,0,0,12,0,0,,1
191,,90,0,0,0,0,0,4,0,0,,3
192,,90,0,0,0,0,0,8,0,0,,1
193,,90,0,0,0,0,0,2,0,0,,1
200,,90,0,0,0,0,0,21,0,0,,2
206,,12,0,0,0,0,0,2,0,0,,1
207,,17,0,0,0,0,0,1,0,0,,1
209,,90,0,0,0,0,0,-9,0,1,,-1
210,,3,0,0,0,0,0,5,0,0,,1
215,,90,1,0,0,0,1,31,0,0,,7
217,,77,0,1,0,0,0,15,0,0,,5
218,,12,0,0,0,0,0,3,0,0,,1
220,,90,0,0,0,5,0,7,0,0,,2
224,,90,0,0,0,0,0,1,0,0,,1
228,,45,0,0,0,0,0,8,0,0,,1
230,,90,0,0,0,0,0,2,1,0,,2
232,,12,0,0,0,0,0,7,0,0,,1
235,,90,0,0,0,0,0,14,0,0,,2
236,,69,0,0,0,0,0,13,0,0,,2
237,,90,0,0,0,0,0,14,0,0,,2
238,,20,0,0,0,0,0,3,0,0,,1
241,,77,0,0,0,0,0,12,0,0,,2
242,,88,0,0,1,0,0,14,0,0,,3
244,,56,0,0,0,0,0,8,0,0,,1
246,,33,0,0,0,0,0,3,0,0,,1
249,,77,0,0,0,0,0,8,0,0,,2
250,,12,0,0,0,0,0,3,0,0,,1
287,,90,0,0,1,4,0,32,0,0,,7
290,,12,0,0,0,0,0,3,0,0,,1
291,,90,0,0,1,0,0,27,0,0,,6
292,,90,0,0,1,0,1,33,0,0,,7
293,,90,0,0,1,0,0,24,0,0,,6
295,,90,0,0,1,0,0,30,0,0,,8
299,,88,1,0,1,0,2,34,0,0,,10
300,,77,0,0,1,0,0,10,0,0,,3
302,,90,0,1,1,0,0,29,0,0,,8
303,,90,0,1,1,0,0,30,0,0,,6
304,,1,0,0,0,0,0,6,0,0,,1
310,,9,0,0,0,0,0,0,0,0,,1
311,,81,2,1,1,0,3,65,0,0,,16
314,,90,0,0,0,4,0,20,0,0,,3
316,,60,0,0,0,0,0,5,1,0,,1
317,,90,0,0,0,0,0,15,0,0,,4
318,,90,0,0,0,0,0,10,0,0,,2
319,,90,0,0,0,0,0,22,0,0,,2
324,,90,0,0,0,0,0,9,1,0,,1
325,,8,0,0,0,0,0,5,0,0,,1
326,,45,0,0,0,0,0,5,0,0,,1
328,,29,0,0,0,0,0,10,0,0,,1
329,,86,1,0,0,0,2,33,0,0,,9
330,,90,0,1,0,0,0,24,0,0,,5
335,,81,1,1,0,0,3,39,0,0,,13
336,,3,0,0,0,0,0,4,0,0,,1
337,,8,1,0,0,0,0,18,0,0,,5
338,,81,0,0,0,0,0,4,0,0,,2
341,,90,0,0,1,2,0,30,0,0,,6
342,,90,0,0,1,0,0,24,1,0,,5
343,,82,0,0,1,0,0,24,1,0,,5
344,,90,0,0,1,0,3,33,0,0,,11
348,,90,0,0,1,0,0,25,0,0,,6
350,,68,0,0,1,0,0,6,0,0,,3
353,,7,0,0,0,0,0,7,0,0,,1
354,,90,0,0,1,0,0,15,0,0,,5
358,,22,0,0,0,0,0,4,0,0,,1
365,,68,0,0,1,0,0,11,0,0,,2
367,,90,0,0,0,4,0,9,0,0,,2
370,,62,0,0,0,0,0,1,1,0,,0
371,,75,1,0,0,0,0,15,0,0,,7
