gw,club,opp,home_away,fdr,fixture_congestion,blank,double
3,CHE,FUL,H,3,1,N,N
3,FUL,CHE,A,4,1,N,N
3,MUN,BUR,H,2,1,N,N
3,BUR,MUN,A,3,1,N,N
3,TOT,BOU,H,3,1,N,N
3,BOU,TOT,A,3,1,N,N
3,SUN,BRE,H,3,1,N,N
3,BRE,SUN,A,2,1,N,N
3,WOL,EVE,H,2,1,N,N
3,EVE,WOL,A,3,1,N,N
3,LEE,NEW,H,3,1,N,N
3,NEW,LEE,A,2,1,N,N
3,BHA,MCI,H,4,1,N,N
3,MCI,BHA,A,3,1,N,N
3,NFO,WHU,H,2,1,N,N
3,WHU,NFO,A,3,1,N,N
3,LIV,ARS,H,4,1,N,N
3,ARS,LIV,A,5,1,N,N
3,AVL,CRY,H,3,1,N,N
3,CRY,AVL,A,4,1,N,N
4,ARS,NFO,H,3,1,N,N
4,NFO,ARS,A,4,1,N,N
4,BOU,BHA,H,3,1,N,N
4,BHA,BOU,A,3,1,N,N
4,CRY,SUN,H,2,1,N,N
4,SUN,CRY,A,3,1,N,N
4,EVE,AVL,H,3,1,N,N
4,AVL,EVE,A,3,1,N,N
4,FUL,LEE,H,2,1,N,N
4,LEE,FUL,A,3,1,N,N
4,NEW,WOL,H,2,1,N,N
4,WOL,NEW,A,4,1,N,N
4,WHU,TOT,H,3,1,N,N
4,TOT,WHU,A,2,1,N,N
4,BRE,CHE,H,3,1,N,N
4,CHE,BRE,A,3,1,N,N
4,BUR,LIV,H,4,1,N,N
4,LIV,BUR,A,2,1,N,N
4,MCI,MUN,H,3,1,N,N
4,MUN,MCI,A,4,1,N,N
5,LIV,EVE,H,2,1,N,N
5,EVE,LIV,A,5,1,N,N
5,BOU,NEW,H,3,1,N,N
5,NEW,BOU,A,3,1,N,N
5,BHA,TOT,H,3,1,N,N
5,TOT,BHA,A,3,1,N,N
5,BUR,NFO,H,3,1,N,N
5,NFO,BUR,A,2,1,N,N
5,WHU,CRY,H,3,1,N,N
5,CRY,WHU,A,2,1,N,N
5,WOL,LEE,H,2,1,N,N
5,LEE,WOL,A,3,1,N,N
5,MUN,CHE,H,3,1,N,N
5,CHE,MUN,A,3,1,N,N
5,FUL,BRE,H,3,1,N,N
5,BRE,FUL,A,3,1,N,N
5,SUN,AVL,H,3,1,N,N
5,AVL,SUN,A,2,1,N,N
5,ARS,MCI,H,4,1,N,N
5,MCI,ARS,A,4,1,N,N
6,BRE,MUN,H,3,1,N,N
6,MUN,BRE,A,3,1,N,N
6,AVL,FUL,H,3,1,N,N
6,FUL,AVL,A,4,1,N,N
6,CHE,BHA,H,3,1,N,N
6,BHA,CHE,A,4,1,N,N
6,CRY,LIV,H,4,1,N,N
6,LIV,CRY,A,3,1,N,N
6,LEE,BOU,H,3,1,N,N
6,BOU,LEE,A,2,1,N,N
6,MCI,BUR,H,2,1,N,N
6,BUR,MCI,A,4,1,N,N
6,NFO,SUN,H,2,1,N,N
6,SUN,NFO,A,3,1,N,N
6,TOT,WOL,H,2,1,N,N
6,WOL,TOT,A,3,1,N,N
6,NEW,ARS,H,4,1,N,N
6,ARS,NEW,A,4,1,N,N
6,EVE,WHU,H,2,1,N,N
6,WHU,EVE,A,3,1,N,N
7,BOU,FUL,H,3,1,N,N
7,FUL,BOU,A,3,1,N,N
7,LEE,TOT,H,3,1,N,N
7,TOT,LEE,A,2,1,N,N
7,ARS,WHU,H,2,1,N,N
7,WHU,ARS,A,4,1,N,N
7,EVE,CRY,H,3,1,N,N
7,CRY,EVE,A,3,1,N,N
7,MUN,SUN,H,2,1,N,N
7,SUN,MUN,A,3,1,N,N
7,CHE,LIV,H,4,1,N,N
7,LIV,CHE,A,4,1,N,N
7,AVL,BUR,H,2,1,N,N
7,BUR,AVL,A,4,1,N,N
7,NEW,NFO,H,3,1,N,N
7,NFO,NEW,A,4,1,N,N
7,WOL,BHA,H,3,1,N,N
7,BHA,WOL,A,3,1,N,N
7,BRE,MCI,H,4,1,N,N
7,MCI,BRE,A,3,1,N,N
