player_id,started,minutes,goals,assists,cs,saves,bonus,bps,yellow,red,auto_subbed,final_points
1,,90,0,0,0,4,0,15,0,0,,3
4,,90,0,0,0,0,0,10,0,0,,2
7,,66,0,0,0,0,0,5,0,0,,2
8,,66,0,0,0,0,0,0,0,0,,2
9,,23,0,0,0,0,0,3,0,0,,1
10,,90,0,0,0,0,0,11,0,0,,2
12,,89,0,0,0,0,0,13,0,0,,2
13,,90,0,1,0,0,0,22,0,0,,5
15,,76,1,0,0,0,3,47,0,0,,10
16,,1,0,0,0,0,0,3,0,0,,1
17,,13,0,0,0,0,0,0,1,0,,0
19,,23,0,0,0,0,0,1,0,0,,1
25,,12,0,0,0,0,0,2,0,0,,1
26,,77,1,0,0,0,2,38,0,0,,8
28,,90,0,0,0,8,0,26,0,0,,3
31,,90,0,0,0,0,0,15,0,0,,4
32,,84,0,0,1,0,0,23,0,0,,6
33,,90,0,0,1,0,0,28,0,0,,6
36,,74,0,0,1,0,1,29,0,0,,7
37,,90,0,0,1,0,0,28,0,0,,6
40,,86,1,0,0,0,0,22,1,0,,6
41,,74,0,0,1,0,0,2,0,0,,3
43,,90,0,0,0,0,0,17,0,0,,2
45,,90,0,0,1,0,0,6,0,0,,3
46,,90,0,0,1,0,0,15,0,0,,3
47,,90,0,0,1,0,0,20,0,0,,3
51,,74,0,0,1,0,0,12,0,0,,3
52,,15,0,0,0,0,0,3,0,0,,1
56,,5,0,0,0,0,0,3,0,0,,1
57,,90,0,0,0,0,0,0,0,0,,1
60,,90,0,0,0,0,0,4,0,0,,1
61,,90,0,0,0,0,0,-3,1,0,,0
64,,90,0,0,0,0,0,3,1,0,,0
67,,88,0,0,0,0,0,8,0,0,,2
68,,88,1,0,0,0,3,43,0,0,,10
69,,90,0,2,0,0,2,37,0,0,,10
70,,75,0,0,0,0,0,6,1,0,,1
71,,14,0,0,0,0,0,2,0,0,,1
72,,1,0,0,0,0,0,3,0,0,,1
73,,75,0,0,0,0,0,15,0,0,,4
74,,14,0,0,0,0,0,2,0,0,,1
75,,1,0,0,0,0,0,3,0,0,,1
79,,90,0,0,0,0,0,4,0,0,,2
82,,90,0,0,0,2,0,10,0,0,,2
84,,16,0,0,0,0,0,4,0,0,,1
86,,90,0,0,0,0,0,4,0,0,,2
87,,90,0,0,0,0,0,8,0,0,,2
88,,45,0,0,0,0,0,2,0,0,,1
90,,45,0,0,0,0,0,0,0,0,,1
91,,90,0,0,0,0,0,3,1,0,,3
93,,73,0,0,0,0,0,11,0,0,,4
94,,90,0,0,0,0,0,11,0,0,,2
95,,45,0,0,0,0,0,6,0,0,,1
96,,85,0,1,0,0,3,30,0,0,,8
98,,90,1,0,0,0,3,30,1,0,,11
102,,45,0,0,0,0,0,1,1,0,,0
104,,62,0,0,0,0,0,5,0,0,,2
105,,45,0,0,0,0,0,3,0,0,,1
106,,90,0,0,0,0,0,9,0,0,,2
108,,4,0,0,0,0,0,2,0,0,,1
109,,90,0,0,0,3,0,17,0,0,,3
110,,90,0,0,0,2,0,13,0,0,,2
112,,90,0,0,1,0,2,29,0,0,,8
113,,77,0,0,0,0,0,8,0,0,,2
114,,90,0,0,0,0,0,17,0,0,,2
115,,76,0,1,0,0,0,17,1,0,,4
116,,90,0,0,0,0,1,20,0,0,,5
119,,12,0,0,0,0,0,7,0,0,,1
124,,90,0,0,0,0,0,-1,1,0,,1
127,,90,0,0,0,0,0,13,0,0,,2
129,,90,0,0,0,0,0,18,0,0,,2
136,,3,0,0,0,0,0,3,0,0,,1
138,,90,0,0,0,0,0,9,0,0,,2
142,,90,0,0,0,0,0,9,0,0,,1
144,,30,0,0,0,0,0,4,0,0,,1
145,,90,0,0,0,0,0,16,0,0,,3
148,,59,0,1,0,0,0,5,0,0,,3
151,,90,0,0,0,0,0,-3,0,0,,1
153,,90,0,0,0,0,0,14,0,0,,3
154,,90,0,0,0,0,0,11,1,0,,1
155,,75,0,0,1,0,0,17,0,0,,3
156,,80,0,0,0,0,0,10,0,0,,2
157,,9,0,0,0,0,0,5,0,0,,1
160,,15,0,0,0,0,0,4,0,0,,1
161,,59,0,0,0,0,0,7,0,0,,1
162,,6,0,0,0,0,0,4,0,0,,1
165,,90,0,0,0,0,0,8,1,0,,1
166,,84,0,0,1,0,0,10,0,0,,2
167,,73,0,0,1,0,0,6,0,0,,2
173,,90,0,0,0,0,0,19,0,0,,4
175,,90,0,0,0,0,0,5,1,0,,3
176,,84,0,0,0,0,0,10,0,0,,2
182,,90,0,0,0,0,0,4,0,0,,2
183,,62,0,0,0,0,0,9,0,0,,2
184,,90,0,0,0,0,0,8,0,0,,2
186,,70,0,0,0,0,0,4,0,0,,2
190,,27,0,0,0,0,0,9,0,0,,1
194,,19,0,0,0,0,0,6,0,0,,1
195,,19,0,0,0,0,0,3,0,0,,1
198,,90,0,0,0,5,0,19,0,0,,2
200,,90,0,0,0,0,0,3,1,0,,2
201,,31,0,0,0,0,0,5,0,0,,1
202,,90,0,0,0,0,0,8,0,0,,1
203,,90,0,0,0,0,0,4,0,0,,1
204,,73,2,0,0,0,2,31,0,0,,15
207,,1,0,0,0,0,0,4,0,0,,1
209,,65,0,0,0,0,0,3,1,0,,1
210,,90,0,0,0,0,0,10,0,0,,2
211,,88,0,1,0,0,0,25,0,0,,5
212,,16,0,0,0,0,0,3,0,0,,1
214,,88,0,1,0,0,0,21,0,0,,5
222,,45,0,0,0,0,0,4,0,0,,1
224,,45,0,1,0,0,0,16,0,0,,4
226,,90,0,0,0,1,0,6,0,0,,1
229,,90,0,0,0,0,0,11,0,0,,3
230,,90,0,0,0,0,0,10,0,0,,3
233,,90,0,0,0,0,0,8,0,0,,1
236,,90,0,0,0,0,0,20,0,0,,2
237,,86,0,0,1,0,0,12,0,0,,3
238,,24,0,0,0,0,0,8,0,0,,1
239,,76,0,0,0,0,0,19,0,0,,2
242,,90,1,0,0,0,3,35,0,0,,10
244,,90,0,0,0,0,0,5,1,0,,1
246,,74,0,0,0,0,0,10,1,0,,1
247,,15,0,1,0,0,0,14,0,0,,4
249,,90,0,0,0,0,0,7,0,0,,2
250,,90,0,0,0,2,0,8,0,0,,1
253,,90,0,0,0,0,0,8,0,0,,1
254,,78,0,0,0,0,0,7,0,0,,1
257,,90,0,0,0,0,0,2,0,0,,1
258,,90,0,0,0,0,0,-1,0,0,,1
259,,90,0,0,0,0,0,10,0,0,,3
260,,17,0,0,0,0,0,0,1,0,,0
261,,82,0,0,0,0,0,15,0,0,,2
262,,11,0,0,0,0,0,3,0,0,,1
264,,78,0,0,0,0,0,17,0,0,,2
265,,29,0,0,0,0,0,9,0,0,,1
267,,90,0,0,0,0,0,13,0,0,,2
268,,90,1,0,0,0,3,38,0,0,,10
269,,11,0,0,0,0,0,3,0,0,,1
271,,7,0,0,0,0,0,5,0,0,,1
277,,90,0,0,1,0,0,18,0,0,,6
279,,90,0,0,1,0,0,17,1,0,,5
280,,63,0,0,1,0,0,19,0,0,,6
282,,90,0,0,1,0,2,30,0,0,,8
286,,81,0,0,1,0,0,15,0,0,,5
290,,90,0,0,1,0,0,10,0,0,,3
295,,90,0,0,1,0,0,2,0,0,,2
304,,90,0,0,0,0,0,5,0,0,,3
305,,90,0,0,0,0,0,4,0,0,,1
306,,90,0,0,0,0,0,6,0,0,,1
313,,24,0,0,0,0,0,3,0,0,,1
315,,78,0,0,0,0,0,14,0,0,,2
316,,65,0,0,0,0,0,8,0,0,,2
323,,11,0,0,0,0,0,5,0,0,,1
327,,29,0,0,0,0,0,1,0,0,,1
328,,1,0,0,0,0,0,3,0,0,,1
330,,60,1,0,1,0,3,30,1,0,,14
331,,90,0,0,0,0,0,9,0,0,,2
332,,90,0,0,0,0,0,9,0,0,,4
334,,90,0,0,0,0,0,10,0,0,,4
335,,90,0,0,0,0,0,7,0,0,,2
336,,61,0,0,1,0,0,9,0,0,,3
337,,28,0,0,0,0,0,5,0,0,,1
338,,90,0,0,0,0,0,13,0,0,,2
345,,72,0,1,0,0,0,18,0,0,,5
346,,72,0,0,0,0,0,0,1,0,,1
347,,17,0,0,0,0,0,2,0,0,,1
350,,90,0,0,1,5,1,35,0,0,,8
356,,90,0,0,1,0,0,32,0,0,,6
358,,90,0,0,1,0,0,23,1,0,,5
362,,90,0,0,1,0,0,28,1,0,,5
366,,90,0,0,1,0,0,14,0,0,,3
367,,90,0,2,1,0,2,43,0,0,,11
368,,90,0,0,1,0,0,20,0,0,,3
371,,26,0,0,0,0,0,2,0,0,,1
372,,83,0,0,1,0,0,14,1,0,,2
375,,6,0,0,0,0,0,3,0,0,,1
377,,63,0,0,1,0,0,9,0,0,,3
379,,63,2,0,1,0,3,61,0,0,,13
381,,1,0,0,0,0,0,3,0,0,,1
384,,90,0,0,1,3,0,29,0,0,,7
385,,90,0,0,0,4,0,18,0,0,,3
388,,90,0,0,1,0,2,31,0,0,,8
390,,90,0,0,1,0,0,25,0,0,,6
391,,90,0,0,1,0,2,31,0,0,,8
393,,90,0,0,1,0,0,22,1,0,,5
397,,90,0,1,1,0,0,26,0,0,,6
398,,24,0,0,0,0,0,3,0,0,,1
399,,65,0,0,1,0,0,23,0,0,,3
401,,83,0,0,1,0,0,6,0,0,,2
403,,60,0,0,1,0,0,15,0,0,,3
405,,76,0,0,0,0,0,11,0,0,,2
411,,90,1,0,1,0,3,40,0,0,,9
412,,90,0,0,0,4,0,13,0,0,,2
415,,20,0,0,0,0,0,3,0,0,,1
417,,83,0,0,0,0,0,8,1,0,,1
418,,90,0,0,0,0,0,1,1,0,,2
419,,90,0,0,0,0,0,7,0,0,,3
420,,6,0,0,0,0,0,1,0,0,,1
422,,1,0,0,0,0,0,-1,0,0,,1
423,,90,0,1,0,0,0,22,1,0,,4
426,,90,0,0,0,0,0,11,0,0,,2
427,,90,1,0,0,0,1,29,0,0,,8
428,,69,0,0,1,0,0,10,0,0,,3
429,,69,0,0,1,0,0,11,0,0,,3
432,,83,0,1,0,0,2,32,0,0,,9
439,,20,1,0,0,0,0,28,0,0,,5
445,,90,0,0,0,0,0,0,0,0,,-1
447,,90,0,0,0,0,0,3,0,0,,1
449,,89,0,1,0,0,0,20,0,0,,4
450,,1,0,0,0,0,0,3,0,0,,1
453,,90,1,1,0,0,2,37,0,0,,12
454,,76,0,0,0,0,0,8,1,0,,1
455,,90,0,0,1,0,0,22,0,0,,5
456,,27,1,0,0,0,0,22,0,0,,6
457,,13,0,0,0,0,0,5,0,0,,1
459,,62,0,0,0,0,0,11,0,0,,2
460,,62,0,0,0,0,0,6,0,0,,2
462,,13,0,0,0,0,0,3,0,0,,1
464,,90,0,0,0,0,0,7,1,0,,1
467,,90,0,0,1,0,0,21,0,0,,6
469,,90,0,0,1,0,1,28,0,0,,7
471,,90,0,0,1,0,0,27,1,0,,7
472,,89,0,0,1,0,0,25,0,0,,8
473,,58,0,0,0,0,0,8,0,0,,1
474,,90,0,0,1,0,0,24,0,0,,8
480,,90,0,0,1,0,0,3,0,0,,3
481,,90,0,0,1,0,0,23,0,0,,3
483,,58,0,0,0,0,0,5,0,0,,1
486,,90,0,0,1,0,0,22,1,0,,2
