gw,club,opp,home_away,fdr,fixture_congestion,blank,double
35,LEE,BUR,H,1,1,N,N
35,BUR,LEE,A,3,1,N,N
35,BRE,WHU,H,2,1,N,N
35,WHU,BRE,A,3,1,N,N
35,NEW,BHA,H,3,1,N,N
35,BHA,NEW,A,3,1,N,N
35,WOL,SUN,H,2,1,N,N
35,SUN,WOL,A,2,1,N,N
35,ARS,FUL,H,3,1,N,N
35,FUL,ARS,A,5,1,N,N
35,BOU,CRY,H,3,1,N,N
35,CRY,BOU,A,4,1,N,N
35,MUN,LIV,H,3,1,N,N
35,LIV,MUN,A,4,1,N,N
35,AVL,TOT,H,3,1,N,N
35,TOT,AVL,A,4,1,N,N
35,CHE,NFO,H,3,1,N,N
35,NFO,CHE,A,3,1,N,N
35,EVE,MCI,H,4,1,N,N
35,MCI,EVE,A,3,1,N,N
36,LIV,CHE,H,3,1,N,N
36,CHE,LIV,A,4,1,N,N
36,BHA,WOL,H,1,1,N,N
36,WOL,BHA,A,4,1,N,N
36,FUL,BOU,H,3,1,N,N
36,BOU,FUL,A,3,1,N,N
36,SUN,MUN,H,3,1,N,N
36,MUN,SUN,A,3,1,N,N
36,MCI,BRE,H,3,1,N,N
36,BRE,MCI,A,5,1,N,N
36,BUR,AVL,H,3,1,N,N
36,AVL,BUR,A,2,1,N,N
36,CRY,EVE,H,3,1,N,N
36,EVE,CRY,A,3,1,N,N
36,NFO,NEW,H,3,1,N,N
36,NEW,NFO,A,3,1,N,N
36,WHU,ARS,H,4,1,N,N
36,ARS,WHU,A,3,1,N,N
36,TOT,LEE,H,2,1,N,N
36,LEE,TOT,A,3,1,N,N
37,ARS,BUR,H,1,1,N,N
37,BUR,ARS,A,5,1,N,N
37,AVL,LIV,H,3,1,N,N
37,LIV,AVL,A,4,1,N,N
37,BRE,CRY,H,3,1,N,N
37,CRY,BRE,A,3,1,N,N
37,EVE,SUN,H,2,1,N,N
37,SUN,EVE,A,3,1,N,N
37,LEE,BHA,H,3,1,N,N
37,BHA,LEE,A,3,1,N,N
37,MUN,NFO,H,3,1,N,N
37,NFO,MUN,A,4,1,N,N
37,NEW,WHU,H,2,1,N,N
37,WHU,NEW,A,3,1,N,N
37,WOL,FUL,H,3,1,N,N
37,FUL,WOL,A,2,1,N,N
38,BHA,MUN,H,3,1,N,N
38,MUN,BHA,A,4,1,N,N
38,BUR,WOL,H,1,1,N,N
38,WOL,BUR,A,2,1,N,N
38,CRY,ARS,H,4,1,N,N
38,ARS,CRY,A,3,1,N,N
38,FUL,NEW,H,3,1,N,N
38,NEW,FUL,A,3,1,N,N
38,LIV,BRE,H,3,1,N,N
38,BRE,LIV,A,4,1,N,N
38,MCI,AVL,H,3,1,N,N
38,AVL,MCI,A,5,1,N,N
38,NFO,BOU,H,3,1,N,N
38,BOU,NFO,A,3,1,N,N
38,TOT,EVE,H,3,1,N,N
38,EVE,TOT,A,3,1,N,N
38,SUN,CHE,H,3,1,N,N
38,CHE,SUN,A,3,1,N,N
38,WHU,LEE,H,2,1,N,N
38,LEE,WHU,A,3,1,N,N
