gw,club,opp,home_away,fdr,fixture_congestion,blank,double
14,BOU,EVE,H,2,1,N,N
14,EVE,BOU,A,4,1,N,N
14,FUL,MCI,H,4,1,N,N
14,MCI,FUL,A,3,1,N,N
14,NEW,TOT,H,3,1,N,N
14,TOT,NEW,A,4,1,N,N
14,ARS,BRE,H,3,1,N,N
14,BRE,ARS,A,5,1,N,N
14,BHA,AVL,H,3,1,N,N
14,AVL,BHA,A,3,1,N,N
14,BUR,CRY,H,3,1,N,N
14,CRY,BUR,A,2,1,N,N
14,WOL,NFO,H,2,1,N,N
14,NFO,WOL,A,2,1,N,N
14,LEE,CHE,H,3,1,N,N
14,CHE,LEE,A,3,1,N,N
14,LIV,SUN,H,2,1,N,N
14,SUN,LIV,A,4,1,N,N
14,MUN,WHU,H,2,1,N,N
14,WHU,MUN,A,3,1,N,N
15,AVL,ARS,H,4,1,N,N
15,ARS,AVL,A,3,1,N,N
15,BOU,CHE,H,3,1,N,N
15,CHE,BOU,A,4,1,N,N
15,EVE,NFO,H,2,1,N,N
15,NFO,EVE,A,3,1,N,N
15,MCI,SUN,H,2,1,N,N
15,SUN,MCI,A,4,1,N,N
15,NEW,BUR,H,2,1,N,N
15,BUR,NEW,A,4,1,N,N
15,TOT,BRE,H,3,1,N,N
15,BRE,TOT,A,3,1,N,N
15,LEE,LIV,H,4,1,N,N
15,LIV,LEE,A,3,1,N,N
15,BHA,WHU,H,2,1,N,N
15,WHU,BHA,A,3,1,N,N
15,FUL,CRY,H,3,1,N,N
15,CRY,FUL,A,3,1,N,N
15,WOL,MUN,H,3,1,N,N
15,MUN,WOL,A,2,1,N,N
16,CHE,EVE,H,2,1,N,N
16,EVE,CHE,A,3,1,N,N
16,LIV,BHA,H,3,1,N,N
16,BHA,LIV,A,4,1,N,N
16,BUR,FUL,H,2,1,N,N
16,FUL,BUR,A,2,1,N,N
16,ARS,WOL,H,2,1,N,N
16,WOL,ARS,A,5,1,N,N
16,CRY,MCI,H,4,1,N,N
16,MCI,CRY,A,3,1,N,N
16,NFO,TOT,H,3,1,N,N
16,TOT,NFO,A,3,1,N,N
16,SUN,NEW,H,3,1,N,N
16,NEW,SUN,A,3,1,N,N
16,WHU,AVL,H,3,1,N,N
16,AVL,WHU,A,2,1,N,N
16,BRE,LEE,H,2,1,N,N
16,LEE,BRE,A,3,1,N,N
16,MUN,BOU,H,3,1,N,N
16,BOU,MUN,A,3,1,N,N
17,NEW,CHE,H,3,1,N,N
17,CHE,NEW,A,4,1,N,N
17,BOU,BUR,H,2,1,N,N
17,BUR,BOU,A,4,1,N,N
17,BHA,SUN,H,2,1,N,N
17,SUN,BHA,A,3,1,N,N
17,MCI,WHU,H,2,1,N,N
17,WHU,MCI,A,4,1,N,N
17,WOL,BRE,H,3,1,N,N
17,BRE,WOL,A,2,1,N,N
17,TOT,LIV,H,4,1,N,N
17,LIV,TOT,A,3,1,N,N
17,EVE,ARS,H,4,1,N,N
17,ARS,EVE,A,3,1,N,N
17,LEE,CRY,H,3,1,N,N
17,CRY,LEE,A,3,1,N,N
17,AVL,MUN,H,3,1,N,N
17,MUN,AVL,A,3,1,N,N
17,FUL,NFO,H,2,1,N,N
17,NFO,FUL,A,3,1,N,N
18,MUN,NEW,H,3,1,N,N
18,NEW,MUN,A,3,1,N,N
18,NFO,MCI,H,4,1,N,N
18,MCI,NFO,A,3,1,N,N
18,ARS,BHA,H,3,1,N,N
18,BHA,ARS,A,5,1,N,N
18,BRE,BOU,H,3,1,N,N
18,BOU,BRE,A,3,1,N,N
18,BUR,EVE,H,2,1,N,N
18,EVE,BUR,A,2,1,N,N
18,LIV,WOL,H,2,1,N,N
18,WOL,LIV,A,4,1,N,N
18,WHU,FUL,H,2,1,N,N
18,FUL,WHU,A,2,1,N,N
18,CHE,AVL,H,3,1,N,N
18,AVL,CHE,A,3,1,N,N
18,SUN,LEE,H,2,1,N,N
18,LEE,SUN,A,3,1,N,N
18,CRY,TOT,H,3,1,N,N
18,TOT,CRY,A,3,1,N,N
