gw,club,opp,home_away,fdr,fixture_congestion,blank,double
32,WHU,WOL,H,2,1,N,N
32,WOL,WHU,A,2,1,N,N
32,ARS,BOU,H,3,1,N,N
32,BOU,ARS,A,5,1,N,N
32,BRE,EVE,H,3,1,N,N
32,EVE,BRE,A,3,1,N,N
32,BUR,BHA,H,3,1,N,N
32,BHA,BUR,A,2,1,N,N
32,LIV,FUL,H,3,1,N,N
32,FUL,LIV,A,4,1,N,N
32,CRY,NEW,H,3,1,N,N
32,NEW,CRY,A,3,1,N,N
32,NFO,AVL,H,3,1,N,N
32,AVL,NFO,A,3,1,N,N
32,SUN,TOT,H,2,1,N,N
32,TOT,SUN,A,3,1,N,N
32,CHE,MCI,H,4,1,N,N
32,MCI,CHE,A,3,1,N,N
32,MUN,LEE,H,2,1,N,N
32,LEE,MUN,A,4,1,N,N
33,BRE,FUL,H,3,1,N,N
33,FUL,BRE,A,3,1,N,N
33,LEE,WOL,H,2,1,N,N
33,WOL,LEE,A,3,1,N,N
33,NEW,BOU,H,3,1,N,N
33,BOU,NEW,A,3,1,N,N
33,TOT,BHA,H,3,1,N,N
33,BHA,TOT,A,2,1,N,N
33,CHE,MUN,H,3,1,N,N
33,MUN,CHE,A,3,1,N,N
33,AVL,SUN,H,2,1,N,N
33,SUN,AVL,A,4,1,N,N
33,EVE,LIV,H,3,1,N,N
33,LIV,EVE,A,3,1,N,N
33,NFO,BUR,H,2,1,N,N
33,BUR,NFO,A,3,1,N,N
33,MCI,ARS,H,4,1,N,N
33,ARS,MCI,A,5,1,N,N
33,CRY,WHU,H,2,1,N,N
33,WHU,CRY,A,3,1,N,N
34,SUN,NFO,H,2,1,N,N
34,NFO,SUN,A,3,1,N,N
34,FUL,AVL,H,3,1,N,N
34,AVL,FUL,A,3,1,N,N
34,BOU,LEE,H,2,1,N,N
34,LEE,BOU,A,3,1,N,N
34,LIV,CRY,H,3,1,N,N
34,CRY,LIV,A,4,1,N,N
34,WHU,EVE,H,3,1,N,N
34,EVE,WHU,A,2,1,N,N
34,WOL,TOT,H,2,1,N,N
34,TOT,WOL,A,2,1,N,N
34,ARS,NEW,H,3,1,N,N
34,NEW,ARS,A,5,1,N,N
34,BUR,MCI,H,4,1,N,N
34,MCI,BUR,A,2,1,N,N
34,BHA,CHE,H,3,1,N,N
34,CHE,BHA,A,4,1,N,N
34,MUN,BRE,H,3,1,N,N
34,BRE,MUN,A,4,1,N,N
35,LEE,BUR,H,2,1,N,N
35,BUR,LEE,A,3,1,N,N
35,AVL,TOT,H,2,1,N,N
35,TOT,AVL,A,4,1,N,N
35,BOU,CRY,H,3,1,N,N
35,CRY,BOU,A,3,1,N,N
35,BRE,WHU,H,2,1,N,N
35,WHU,BRE,A,3,1,N,N
35,NEW,BHA,H,3,1,N,N
35,BHA,NEW,A,3,1,N,N
35,WOL,SUN,H,2,1,N,N
35,SUN,WOL,A,2,1,N,N
35,ARS,FUL,H,3,1,N,N
35,FUL,ARS,A,5,1,N,N
35,MUN,LIV,H,3,1,N,N
35,LIV,MUN,A,4,1,N,N
35,CHE,NFO,H,2,1,N,N
35,NFO,CHE,A,3,1,N,N
35,EVE,MCI,H,4,1,N,N
35,MCI,EVE,A,3,1,N,N
36,LIV,CHE,H,3,1,N,N
36,CHE,LIV,A,4,1,N,N
36,BHA,WOL,H,2,1,N,N
36,WOL,BHA,A,4,1,N,N
36,BUR,AVL,H,3,1,N,N
36,AVL,BUR,A,2,1,N,N
36,CRY,EVE,H,3,1,N,N
36,EVE,CRY,A,3,1,N,N
36,FUL,BOU,H,3,1,N,N
36,BOU,FUL,A,3,1,N,N
36,SUN,MUN,H,3,1,N,N
36,MUN,SUN,A,3,1,N,N
36,MCI,BRE,H,3,1,N,N
36,BRE,MCI,A,5,1,N,N
36,NFO,NEW,H,3,1,N,N
36,NEW,NFO,A,3,1,N,N
36,WHU,ARS,H,4,1,N,N
36,ARS,WHU,A,2,1,N,N
36,TOT,LEE,H,2,1,N,N
36,LEE,TOT,A,2,1,N,N
